ticker,yes_bid,yes_ask,last_price,volume
KXNFLREC-26SEP27ARISF-ARIKBOURNE17-5,0.1300,0.1700,0.1600,42.95
KXNFLREC-26SEP27ARISF-SFDSAMUEL19-10,0.0000,0.0400,0.0000,0.00
KXNFLREC-26SEP27ARISF-ARITMCBRIDE85-11,0.1100,0.1600,0.0000,0.00
KXNFLREC-26SEP27ARISF-SFDSAMUEL19-9,0.0000,0.0600,0.0000,0.00
KXNFLREC-26SEP27ARISF-SFDSAMUEL19-3,0.7000,0.7600,0.0000,0.00
KXNFLREC-26SEP27ARISF-SFCMCCAFFREY23-8,0.1000,0.1400,0.1200,48.40
KXNFLREC-26SEP27ARISF-ARIKBOURNE17-6,0.0200,0.1000,0.0000,0.00
KXNFLREC-26SEP27ARISF-SFCMCCAFFREY23-10,0.0000,0.0500,0.0000,0.00
KXNFLREC-26SEP27ARISF-SFDSAMUEL19-7,0.1200,0.1700,0.1500,9.43
KXNFLREC-26SEP27ARISF-ARIMWILSON14-3,0.7300,0.7600,0.0000,0.00
KXNFLREC-26SEP27ARISF-SFGKITTLE85-6,0.2200,0.2800,0.0000,0.00
KXNFLREC-26SEP27ARISF-SFGKITTLE85-4,0.5800,0.5900,0.5900,7.00
KXNFLREC-26SEP27ARISF-SFGKITTLE85-7,0.1200,0.1800,0.0000,0.00
KXNFLREC-26SEP27ARISF-SFGKITTLE85-3,0.7300,0.7800,0.0000,0.00
KXNFLREC-26SEP27ARISF-SFCMCCAFFREY23-6,0.3100,0.3400,0.3100,14.18
KXNFLREC-26SEP27ARISF-ARIMWILSON14-2,0.8600,0.9100,0.0000,0.00
KXNFLREC-26SEP27ARISF-SFDSAMUEL19-4,0.5600,0.5800,0.5700,115.67
KXNFLREC-26SEP27ARISF-SFDSAMUEL19-6,0.2100,0.2600,0.2500,5.70
KXNFLREC-26SEP27ARISF-SFCMCCAFFREY23-3,0.7800,0.8400,0.8400,5.00
KXNFLREC-26SEP27ARISF-ARIKBOURNE17-7,0.0300,0.0600,0.0000,0.00
KXNFLREC-26SEP27ARISF-ARITMCBRIDE85-14,0.0000,0.0500,0.0000,0.00
KXNFLREC-26SEP27ARISF-ARIMWILSON14-4,0.5600,0.5700,0.5700,257.78
KXNFLREC-26SEP27ARISF-SFCMCCAFFREY23-7,0.1900,0.2200,0.2300,3000.00
KXNFLREC-26SEP27ARISF-ARIJLOVE4-3,0.5000,0.5100,0.5000,701.00
KXNFLREC-26SEP27ARISF-ARIKBOURNE17-4,0.2600,0.2800,0.2800,1242.40
KXNFLREC-26SEP27ARISF-SFDSAMUEL19-8,0.0000,0.1000,0.0000,0.00
KXNFLREC-26SEP27ARISF-ARIMWILSON14-7,0.1000,0.1400,0.0000,0.00
KXNFLREC-26SEP27ARISF-ARITMCBRIDE85-4,0.8800,0.9200,0.0000,0.00
KXNFLREC-26SEP27ARISF-ARIJLOVE4-6,0.0200,0.0800,0.0900,200.00
KXNFLREC-26SEP27ARISF-ARIJLOVE4-2,0.6900,0.7300,0.0000,0.00
KXNFLREC-26SEP27ARISF-SFCMCCAFFREY23-4,0.6300,0.7000,0.6800,11.00
KXNFLREC-26SEP27ARISF-ARIMHARRISON18-5,0.0900,0.1100,0.1300,108.76
KXNFLREC-26SEP27ARISF-SFCMCCAFFREY23-5,0.5000,0.5200,0.5000,379.66
KXNFLREC-26SEP27ARISF-SFDSAMUEL19-2,0.8500,0.9100,0.0000,0.00
KXNFLREC-26SEP27ARISF-ARIJLOVE4-5,0.1200,0.1500,0.1700,3006.00
