ticker,yes_bid,yes_ask,last_price,volume
KXNFLREC-26SEP27BALDAL-BALMANDREWS89-10,0.0100,0.0400,0.0000,0.00
KXNFLREC-26SEP27BALDAL-BALLWESTER10-3,0.3200,0.3300,0.0000,0.00
KXNFLREC-26SEP27BALDAL-DALJFERGUSON87-6,0.1700,0.2100,0.0000,0.00
KXNFLREC-26SEP27BALDAL-BALRBATEMAN7-5,0.2500,0.2800,0.2700,320.09
KXNFLREC-26SEP27BALDAL-BALJHILL43-6,0.0200,0.0600,0.0000,0.00
KXNFLREC-26SEP27BALDAL-DALRFLOURNOY19-5,0.2500,0.2600,0.0000,0.00
KXNFLREC-26SEP27BALDAL-BALJHILL43-2,0.6000,0.6200,0.0000,0.00
KXNFLREC-26SEP27BALDAL-DALRFLOURNOY19-6,0.1200,0.1400,0.0000,0.00
KXNFLREC-26SEP27BALDAL-DALGPICKENS3-10,0.0400,0.0800,0.0000,0.00
KXNFLREC-26SEP27BALDAL-DALJFERGUSON87-3,0.6800,0.7200,0.7200,43.34
KXNFLREC-26SEP27BALDAL-DALGPICKENS3-7,0.2600,0.3000,0.0000,0.00
KXNFLREC-26SEP27BALDAL-DALJWILLIAMS33-7,0.0200,0.0700,0.0000,0.00
KXNFLREC-26SEP27BALDAL-DALJFERGUSON87-8,0.0100,0.0700,0.0000,0.00
KXNFLREC-26SEP27BALDAL-DALCLAMB88-4,0.8500,0.9000,0.9000,3.31
KXNFLREC-26SEP27BALDAL-BALMANDREWS89-3,0.7100,0.7600,0.7600,5.00
KXNFLREC-26SEP27BALDAL-BALRBATEMAN7-8,0.0100,0.0600,0.0000,0.00
KXNFLREC-26SEP27BALDAL-BALMANDREWS89-8,0.0100,0.1000,0.0000,0.00
KXNFLREC-26SEP27BALDAL-DALCLAMB88-8,0.3500,0.3700,0.0000,0.00
KXNFLREC-26SEP27BALDAL-DALCLAMB88-11,0.0200,0.1100,0.0000,0.00
KXNFLREC-26SEP27BALDAL-DALCLAMB88-10,0.1300,0.1700,0.0000,0.00
KXNFLREC-26SEP27BALDAL-BALRBATEMAN7-3,0.6200,0.6600,0.6500,89.55
KXNFLREC-26SEP27BALDAL-DALRFLOURNOY19-4,0.4100,0.4200,0.4000,2259.73
KXNFLREC-26SEP27BALDAL-DALJFERGUSON87-4,0.4900,0.5100,0.4900,423.21
KXNFLREC-26SEP27BALDAL-BALRBATEMAN7-7,0.0700,0.1000,0.0900,390.52
KXNFLREC-26SEP27BALDAL-DALJFERGUSON87-7,0.0800,0.1200,0.0000,0.00
KXNFLREC-26SEP27BALDAL-BALMANDREWS89-7,0.1200,0.1500,0.1600,900.00
KXNFLREC-26SEP27BALDAL-BALLWESTER10-4,0.1500,0.1600,0.1500,23.02
