ticker,yes_bid,yes_ask,last_price,volume
KXNFLREC-26SEP27HOUIND-INDTWARREN84-4,0.5900,0.7700,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUXHUTCHINSON19-2,0.6000,0.9000,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDJTAYLOR28-6,0.0000,0.1800,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUXHUTCHINSON19-3,0.0100,0.7300,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUKBOUTTE14-3,0.4900,0.5400,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUDSCHULTZ86-12,0.0000,0.5000,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDJTAYLOR28-8,0.0000,0.6800,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDTWARREN84-7,0.0000,0.2800,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDTWARREN84-11,0.0000,0.3500,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDJTAYLOR28-4,0.0100,0.4600,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDTWARREN84-5,0.5100,0.5600,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDJTAYLOR28-3,0.5600,0.6100,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDKALLEN10-2,0.6200,0.9300,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDKALLEN10-9,0.0000,0.6700,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDJDOWNS2-11,0.0000,0.4300,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUXHUTCHINSON19-8,0.0000,0.1000,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUXHUTCHINSON19-7,0.0000,0.1400,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUJNOEL13-7,0.0000,0.3300,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUXHUTCHINSON19-4,0.4300,0.4800,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUJNOEL13-6,0.0000,0.1100,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUKBOUTTE14-7,0.0000,0.2300,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUXHUTCHINSON19-6,0.0000,0.2200,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDKALLEN10-5,0.0000,0.4000,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDTWARREN84-6,0.2400,0.4300,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUDSCHULTZ86-7,0.0000,0.3500,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDJDOWNS2-9,0.0000,0.1300,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDTWARREN84-3,0.5900,0.8900,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUKBOUTTE14-6,0.0000,0.1400,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUDSCHULTZ86-10,0.0000,0.1300,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDTWARREN84-10,0.0000,0.0900,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUKBOUTTE14-5,0.0000,0.2200,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUDSCHULTZ86-4,0.3900,0.8400,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUKBOUTTE14-2,0.0100,0.8000,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDTWARREN84-8,0.0000,0.2000,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUDSCHULTZ86-5,0.3900,0.6100,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUKBOUTTE14-4,0.0100,0.5100,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDKALLEN10-7,0.0000,0.1500,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUDSCHULTZ86-9,0.0000,0.1500,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUJNOEL13-3,0.4400,0.4800,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDJDOWNS2-6,0.2500,0.4000,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDKALLEN10-3,0.6000,0.7700,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDKALLEN10-8,0.0000,0.1100,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDKALLEN10-6,0.0000,0.2600,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDJDOWNS2-7,0.1200,0.2800,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDJDOWNS2-4,0.0100,0.7600,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDTWARREN84-9,0.0000,0.1300,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDJTAYLOR28-7,0.0000,0.1200,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDJTAYLOR28-5,0.0000,0.2900,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUDSCHULTZ86-3,0.3900,0.9400,0.0000,0.00
KXNFLREC-26SEP27HOUIND-INDJTAYLOR28-2,0.4200,0.7700,0.6800,1.00
KXNFLREC-26SEP27HOUIND-INDKALLEN10-4,0.4800,0.5300,0.0000,0.00
KXNFLREC-26SEP27HOUIND-HOUDSCHULTZ86-6,0.4000,0.4500,0.0000,0.00
