ticker,yes_bid,yes_ask,last_price,volume
KXNFLREC-26SEP27LACBUF-LACLMCCONKEY15-2,0.3800,0.9900,0.0000,0.00
KXNFLREC-26SEP27LACBUF-LACLMCCONKEY15-10,0.0000,0.3900,0.0000,0.00
KXNFLREC-26SEP27LACBUF-BUFDKINCAID86-4,0.3100,0.7000,0.0000,0.00
KXNFLREC-26SEP27LACBUF-LACQJOHNSTON1-3,0.0100,0.6600,0.0000,0.00
KXNFLREC-26SEP27LACBUF-LACOGADSDEN86-5,0.0000,0.3200,0.0000,0.00
KXNFLREC-26SEP27LACBUF-BUFDKINCAID86-10,0.0000,0.6200,0.0000,0.00
KXNFLREC-26SEP27LACBUF-LACTHARRIS9-7,0.0000,0.1000,0.0000,0.00
KXNFLREC-26SEP27LACBUF-LACOHAMPTON8-6,0.0000,0.3600,0.0000,0.00
KXNFLREC-26SEP27LACBUF-LACTHARRIS9-5,0.0000,0.2300,0.0000,0.00
KXNFLREC-26SEP27LACBUF-BUFDKINCAID86-2,0.0100,0.9900,0.0000,0.00
KXNFLREC-26SEP27LACBUF-BUFKSHAKIR10-10,0.0000,0.4400,0.0000,0.00
KXNFLREC-26SEP27LACBUF-BUFJCOOK4-6,0.0000,0.4800,0.0000,0.00
KXNFLREC-26SEP27LACBUF-LACQJOHNSTON1-5,0.0000,0.2900,0.0000,0.00
KXNFLREC-26SEP27LACBUF-LACLMCCONKEY15-3,0.3800,0.8900,0.0000,0.00
KXNFLREC-26SEP27LACBUF-LACQJOHNSTON1-8,0.0000,0.5500,0.0000,0.00
KXNFLREC-26SEP27LACBUF-LACQJOHNSTON1-2,0.5300,0.8400,0.0000,0.00
KXNFLREC-26SEP27LACBUF-LACOGADSDEN86-7,0.0000,0.1400,0.0000,0.00
KXNFLREC-26SEP27LACBUF-BUFKSHAKIR10-2,0.4600,0.9700,0.0000,0.00
KXNFLREC-26SEP27LACBUF-LACTHARRIS9-2,0.0100,0.8400,0.0000,0.00
KXNFLREC-26SEP27LACBUF-BUFJCOOK4-4,0.0100,0.2000,0.0000,0.00
KXNFLREC-26SEP27LACBUF-LACLMCCONKEY15-4,0.3800,0.7200,0.0000,0.00
KXNFLREC-26SEP27LACBUF-LACTHARRIS9-4,0.0100,0.3800,0.0000,0.00
KXNFLREC-26SEP27LACBUF-LACOHAMPTON8-4,0.0500,0.2000,0.0000,0.00
KXNFLREC-26SEP27LACBUF-BUFJCOOK4-3,0.0100,0.3700,0.0000,0.00
KXNFLREC-26SEP27LACBUF-LACLMCCONKEY15-8,0.0000,0.1700,0.0000,0.00
KXNFLREC-26SEP27LACBUF-BUFDKINCAID86-9,0.0000,0.0900,0.0000,0.00
KXNFLREC-26SEP27LACBUF-BUFDKINCAID86-3,0.6900,0.8600,0.0000,0.00
KXNFLREC-26SEP27LACBUF-LACOHAMPTON8-5,0.0000,0.1100,0.0000,0.00
KXNFLREC-26SEP27LACBUF-BUFJCOOK4-2,0.5200,0.6100,0.0000,0.00
KXNFLREC-26SEP27LACBUF-BUFDKINCAID86-7,0.0000,0.2200,0.0000,0.00
