ticker,yes_bid,yes_ask,last_price,volume
KXNFLREC-26SEP27LARDEN-LARDADAMS17-8,0.2100,0.2500,0.2500,11.40
KXNFLREC-26SEP27LARDEN-LARDADAMS17-4,0.7900,0.8200,0.0000,0.00
KXNFLREC-26SEP27LARDEN-LARTFERGUSON18-5,0.4000,0.4100,0.4100,1464.20
KXNFLREC-26SEP27LARDEN-DENJWADDLE17-9,0.0600,0.1000,0.0600,6.00
KXNFLREC-26SEP27LARDEN-LARTFERGUSON18-6,0.2500,0.2600,0.2600,1323.85
KXNFLREC-26SEP27LARDEN-DENJWADDLE17-7,0.2300,0.2700,0.0000,0.00
KXNFLREC-26SEP27LARDEN-DENEENGRAM1-2,0.7300,0.7500,0.7300,66.60
KXNFLREC-26SEP27LARDEN-DENEENGRAM1-7,0.0100,0.0500,0.0000,0.00
KXNFLREC-26SEP27LARDEN-DENCSUTTON14-5,0.2600,0.2900,0.2600,1.00
KXNFLREC-26SEP27LARDEN-LARDADAMS17-5,0.6600,0.6900,0.7000,1.90
KXNFLREC-26SEP27LARDEN-LARKWILLIAMS23-5,0.0700,0.1000,0.0000,0.00
KXNFLREC-26SEP27LARDEN-DENPBRYANT13-2,0.7200,0.7500,0.0000,0.00
KXNFLREC-26SEP27LARDEN-LARTFERGUSON18-2,0.8700,0.9100,0.8900,95.26
KXNFLREC-26SEP27LARDEN-LARDADAMS17-7,0.3400,0.3800,0.3200,22.50
KXNFLREC-26SEP27LARDEN-LARTFERGUSON18-4,0.5900,0.6000,0.6000,10891.76
KXNFLREC-26SEP27LARDEN-DENCSUTTON14-2,0.8200,0.8600,0.8100,34.50
KXNFLREC-26SEP27LARDEN-DENPBRYANT13-5,0.1400,0.1600,0.1400,401.06
KXNFLREC-26SEP27LARDEN-DENEENGRAM1-6,0.0400,0.0900,0.0000,0.00
KXNFLREC-26SEP27LARDEN-DENCSUTTON14-8,0.0100,0.0600,0.0000,0.00
KXNFLREC-26SEP27LARDEN-LARDADAMS17-3,0.8900,0.9200,0.9300,61.21
KXNFLREC-26SEP27LARDEN-DENEENGRAM1-3,0.4800,0.5100,0.4800,238.70
KXNFLREC-26SEP27LARDEN-DENCSUTTON14-3,0.6400,0.6800,0.0000,0.00
KXNFLREC-26SEP27LARDEN-DENJWADDLE17-3,0.8300,0.8700,0.8800,62.89
KXNFLREC-26SEP27LARDEN-LARDADAMS17-10,0.0600,0.1000,0.0000,0.00
KXNFLREC-26SEP27LARDEN-LARTFERGUSON18-3,0.7200,0.7800,0.7700,42.55
KXNFLREC-26SEP27LARDEN-DENJWADDLE17-4,0.7100,0.7300,0.7300,12.03
KXNFLREC-26SEP27LARDEN-LARDADAMS17-9,0.1200,0.1600,0.1300,3.00
KXNFLREC-26SEP27LARDEN-LARKWILLIAMS23-4,0.1700,0.2200,0.0000,0.00
KXNFLREC-26SEP27LARDEN-DENCSUTTON14-6,0.1300,0.1700,0.1300,34.17
KXNFLREC-26SEP27LARDEN-DENCSUTTON14-7,0.0600,0.0900,0.0900,73.00
KXNFLREC-26SEP27LARDEN-LARTFERGUSON18-7,0.1100,0.1500,0.1500,56.57
KXNFLREC-26SEP27LARDEN-DENCSUTTON14-4,0.4300,0.4600,0.4300,95.87
KXNFLREC-26SEP27LARDEN-LARKWILLIAMS23-3,0.3900,0.4100,0.0000,0.00
KXNFLREC-26SEP27LARDEN-LARDADAMS17-6,0.5200,0.5300,0.5300,3931.41
KXNFLREC-26SEP27LARDEN-DENJWADDLE17-10,0.0100,0.0600,0.0000,0.00
KXNFLREC-26SEP27LARDEN-DENPBRYANT13-7,0.0100,0.0500,0.0000,0.00
KXNFLREC-26SEP27LARDEN-DENPBRYANT13-3,0.4800,0.5000,0.5000,186.02
KXNFLREC-26SEP27LARDEN-DENJWADDLE17-11,0.0000,0.0400,0.0000,0.00
KXNFLREC-26SEP27LARDEN-DENPBRYANT13-6,0.0500,0.0900,0.0000,0.00
KXNFLREC-26SEP27LARDEN-LARTFERGUSON18-8,0.0000,0.0900,0.0900,73.11
KXNFLREC-26SEP27LARDEN-DENJWADDLE17-6,0.3800,0.4000,0.0000,0.00
KXNFLREC-26SEP27LARDEN-LARKWILLIAMS23-2,0.6300,0.6500,0.6600,73.00
KXNFLREC-26SEP27LARDEN-DENJWADDLE17-5,0.5500,0.5600,0.5600,44.30
KXNFLREC-26SEP27LARDEN-DENEENGRAM1-5,0.1300,0.1700,0.0000,0.00
KXNFLREC-26SEP27LARDEN-LARTFERGUSON18-9,0.0000,0.0600,0.0600,23.45
KXNFLREC-26SEP27LARDEN-DENPBRYANT13-4,0.2700,0.3100,0.0000,0.00
KXNFLREC-26SEP27LARDEN-DENEENGRAM1-4,0.2800,0.3000,0.2800,22.00
KXNFLREC-26SEP27LARDEN-LARDADAMS17-12,0.0000,0.0500,0.0000,0.00
KXNFLREC-26SEP27LARDEN-LARDADAMS17-11,0.0100,0.0700,0.0000,0.00
KXNFLREC-26SEP27LARDEN-LARKWILLIAMS23-6,0.0000,0.0600,0.0000,0.00
KXNFLREC-26SEP27LARDEN-DENJWADDLE17-8,0.1300,0.1600,0.1200,3.00
