ticker,yes_bid,yes_ask,last_price,volume
KXNFLREC-26SEP27MINTB-TBCOTTON88-4,0.3700,0.3800,0.3800,4993.46
KXNFLREC-26SEP27MINTB-MINJJENNINGS14-5,0.0200,0.0500,0.0500,3200.00
KXNFLREC-26SEP27MINTB-MINJJEFFERSON18-9,0.1400,0.1700,0.0000,0.00
KXNFLREC-26SEP27MINTB-MINTHOCKENSON87-4,0.4600,0.4700,0.4700,506.86
KXNFLREC-26SEP27MINTB-TBCOTTON88-8,0.0100,0.0400,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBEEGBUKA2-6,0.2300,0.2700,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBJMCMILLAN11-4,0.0600,0.0900,0.1000,1.00
KXNFLREC-26SEP27MINTB-MINJOLIVER84-2,0.4100,0.4300,0.4200,20.00
KXNFLREC-26SEP27MINTB-TBCGODWIN14-6,0.1100,0.1500,0.0000,0.00
KXNFLREC-26SEP27MINTB-MINJOLIVER84-5,0.0100,0.0500,0.0000,0.00
KXNFLREC-26SEP27MINTB-MINTHOCKENSON87-7,0.0700,0.1100,0.0000,0.00
KXNFLREC-26SEP27MINTB-MINJADDISON3-7,0.0400,0.0800,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBKGAINWELL1-5,0.0500,0.0900,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBEEGBUKA2-7,0.1200,0.1500,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBJMCMILLAN11-3,0.1800,0.2100,0.0000,0.00
KXNFLREC-26SEP27MINTB-MINJOLIVER84-4,0.0500,0.1000,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBCOTTON88-2,0.7800,0.8200,0.7800,4.00
KXNFLREC-26SEP27MINTB-MINJJEFFERSON18-10,0.0700,0.1300,0.0000,0.00
KXNFLREC-26SEP27MINTB-MINJADDISON3-4,0.4000,0.4300,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBKGAINWELL1-2,0.5700,0.6000,0.5800,41.86
KXNFLREC-26SEP27MINTB-MINJADDISON3-3,0.6100,0.6400,0.0000,0.00
KXNFLREC-26SEP27MINTB-MINJJENNINGS14-2,0.4400,0.4800,0.4700,41.01
KXNFLREC-26SEP27MINTB-MINJJEFFERSON18-3,0.8900,0.9300,0.0000,0.00
KXNFLREC-26SEP27MINTB-MINJJEFFERSON18-8,0.2300,0.2800,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBCOTTON88-6,0.1000,0.1400,0.0000,0.00
KXNFLREC-26SEP27MINTB-MINJOLIVER84-3,0.1700,0.2100,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBBIRVING7-5,0.1500,0.1900,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBBIRVING7-2,0.7400,0.7700,0.7500,13.10
KXNFLREC-26SEP27MINTB-TBEEGBUKA2-8,0.0600,0.1000,0.1000,84.00
KXNFLREC-26SEP27MINTB-TBEEGBUKA2-4,0.5700,0.5900,0.5700,618.37
KXNFLREC-26SEP27MINTB-TBCGODWIN14-2,0.8000,0.8400,0.0000,0.00
KXNFLREC-26SEP27MINTB-MINJJENNINGS14-4,0.0700,0.1000,0.1000,3250.00
KXNFLREC-26SEP27MINTB-MINAJONES33-6,0.0000,0.0500,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBTHURST17-5,0.0800,0.1200,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBTHURST17-6,0.0100,0.0600,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBJMCMILLAN11-5,0.0100,0.0500,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBBIRVING7-7,0.0100,0.0600,0.0000,0.00
KXNFLREC-26SEP27MINTB-MINJADDISON3-5,0.2100,0.2500,0.2600,12.14
KXNFLREC-26SEP27MINTB-MINJJEFFERSON18-5,0.6700,0.7100,0.0000,0.00
KXNFLREC-26SEP27MINTB-MINTHOCKENSON87-6,0.1500,0.1900,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBCOTTON88-7,0.0300,0.0700,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBBIRVING7-4,0.3100,0.3400,0.3100,563.30
KXNFLREC-26SEP27MINTB-MINJJEFFERSON18-6,0.5300,0.5500,0.5400,64.54
KXNFLREC-26SEP27MINTB-MINAJONES33-4,0.1500,0.1800,0.1900,919.00
KXNFLREC-26SEP27MINTB-TBCOTTON88-5,0.2000,0.2400,0.0000,0.00
KXNFLREC-26SEP27MINTB-MINJJEFFERSON18-7,0.3600,0.4100,0.4000,82.99
KXNFLREC-26SEP27MINTB-TBCGODWIN14-3,0.6100,0.6500,0.0000,0.00
KXNFLREC-26SEP27MINTB-MINTHOCKENSON87-5,0.2900,0.3200,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBBIRVING7-6,0.0700,0.1100,0.0000,0.00
KXNFLREC-26SEP27MINTB-MINTHOCKENSON87-3,0.6800,0.6900,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBBIRVING7-3,0.5400,0.5500,0.5400,1750.79
KXNFLREC-26SEP27MINTB-TBKGAINWELL1-6,0.0100,0.0500,0.0000,0.00
KXNFLREC-26SEP27MINTB-MINTHOCKENSON87-9,0.0000,0.0400,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBCGODWIN14-7,0.0400,0.0800,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBKGAINWELL1-4,0.1500,0.1800,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBJMCMILLAN11-2,0.4000,0.4200,0.4200,207.12
KXNFLREC-26SEP27MINTB-MINTHOCKENSON87-2,0.8400,0.8800,0.8400,6.00
KXNFLREC-26SEP27MINTB-TBTHURST17-2,0.6300,0.6400,0.6400,826.00
KXNFLREC-26SEP27MINTB-MINAJONES33-2,0.5900,0.6000,0.5900,823.62
KXNFLREC-26SEP27MINTB-MINJJENNINGS14-3,0.2000,0.2300,0.2300,4281.86
KXNFLREC-26SEP27MINTB-TBEEGBUKA2-2,0.8800,0.9100,0.9100,15.00
KXNFLREC-26SEP27MINTB-MINAJONES33-3,0.3200,0.3400,0.3500,459.73
KXNFLREC-26SEP27MINTB-TBEEGBUKA2-5,0.4000,0.4100,0.0000,0.00
KXNFLREC-26SEP27MINTB-TBKGAINWELL1-3,0.3500,0.3600,0.3600,399.00
KXNFLREC-26SEP27MINTB-MINAJONES33-5,0.0000,0.0900,0.1200,207.00
