ticker,yes_bid,yes_ask,last_price,volume
KXNFLREC-26SEP28PHICHI-CHILBURDEN10-3,0.6300,0.6600,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHIRODUNZE15-2,0.6900,0.7100,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHIDSWIFT4-4,0.1100,0.1600,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHIKRAYMOND14-7,0.0400,0.0800,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHIDSWIFT4-5,0.0400,0.0800,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHILBURDEN10-7,0.0700,0.1000,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHIKRAYMOND14-4,0.3700,0.4100,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHIDWICKS13-8,0.0000,0.0600,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHICLOVELAND84-2,0.7600,0.8100,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHIMLEMON9-6,0.0000,0.1100,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHIDWICKS13-4,0.3800,0.4200,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHILBURDEN10-4,0.4500,0.4700,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHISBARKLEY26-4,0.1900,0.2500,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHIMLEMON9-7,0.0000,0.0700,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHILBURDEN10-8,0.0000,0.0600,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHIKRAYMOND14-5,0.2000,0.2500,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHIDWICKS13-7,0.0000,0.1000,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHISBARKLEY26-2,0.6600,0.6800,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHIRODUNZE15-6,0.0400,0.0800,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHILBURDEN10-6,0.1300,0.1800,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHIDWICKS13-3,0.5700,0.6200,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHIKRAYMOND14-6,0.1000,0.1500,0.1100,1.00
KXNFLREC-26SEP28PHICHI-CHICLOVELAND84-3,0.5800,0.6200,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHIRODUNZE15-4,0.2200,0.2800,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHICLOVELAND84-4,0.4100,0.4300,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHIMLEMON9-4,0.2800,0.3200,0.3300,109.29
KXNFLREC-26SEP28PHICHI-PHIMLEMON9-3,0.4900,0.5100,0.5100,498.98
KXNFLREC-26SEP28PHICHI-CHIDSWIFT4-3,0.2600,0.3200,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHICLOVELAND84-6,0.1100,0.1600,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHILBURDEN10-5,0.2500,0.2900,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHIMLEMON9-2,0.6600,0.7200,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHIMLEMON9-5,0.1500,0.2000,0.2000,338.93
KXNFLREC-26SEP28PHICHI-PHIDWICKS13-5,0.2000,0.2600,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHISBARKLEY26-5,0.0900,0.1300,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHISBARKLEY26-7,0.0000,0.0400,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHILBURDEN10-9,0.0000,0.0400,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHICLOVELAND84-8,0.0000,0.0500,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHIMLEMON9-8,0.0000,0.0500,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHIDWICKS13-9,0.0000,0.0400,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHIDSWIFT4-2,0.5400,0.5600,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHIKRAYMOND14-8,0.0000,0.0500,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHISBARKLEY26-3,0.4000,0.4300,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHIDWICKS13-2,0.7500,0.8200,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHISBARKLEY26-6,0.0000,0.0700,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHIRODUNZE15-3,0.4500,0.4800,0.0000,0.00
KXNFLREC-26SEP28PHICHI-PHIDWICKS13-6,0.1200,0.1600,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHICLOVELAND84-7,0.0500,0.0900,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHIDSWIFT4-6,0.0000,0.0500,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHICLOVELAND84-5,0.2200,0.2700,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHIRODUNZE15-5,0.1000,0.1500,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHIRODUNZE15-7,0.0000,0.0400,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHILBURDEN10-2,0.8100,0.8400,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHIKRAYMOND14-3,0.5800,0.6200,0.0000,0.00
KXNFLREC-26SEP28PHICHI-CHIKRAYMOND14-2,0.7800,0.8000,0.0000,0.00
