ticker,yes_bid,yes_ask,last_price,volume
KXNFLRECYDS-26SEP24ATLGB-GBMGOLDEN0-130,0.0300,0.0500,0.0600,313.20
KXNFLRECYDS-26SEP24ATLGB-ATLBROBINSON7-90,0.0600,0.0800,0.0800,1246.08
KXNFLRECYDS-26SEP24ATLGB-GBMLLOYD32-40,0.0200,0.0400,0.0500,285.57
KXNFLRECYDS-26SEP24ATLGB-GBMGOLDEN0-90,0.1900,0.2000,0.2000,3356.69
KXNFLRECYDS-26SEP24ATLGB-ATLBROBINSON7-100,0.0500,0.0600,0.0600,1576.50
KXNFLRECYDS-26SEP24ATLGB-ATLDLONDON5-100,0.2100,0.2300,0.2300,12967.48
KXNFLRECYDS-26SEP24ATLGB-ATLDLONDON5-120,0.1000,0.1200,0.1200,2324.34
KXNFLRECYDS-26SEP24ATLGB-GBCBROOKS30-40,0.0200,0.0600,0.0000,0.00
KXNFLRECYDS-26SEP24ATLGB-GBTKRAFT85-50,0.4400,0.4500,0.4500,6044.92
KXNFLRECYDS-26SEP24ATLGB-ATLDLONDON5-70,0.4500,0.4700,0.4700,14888.52
KXNFLRECYDS-26SEP24ATLGB-ATLJDOTSON4-25,0.3700,0.3800,0.3800,311.83
KXNFLRECYDS-26SEP24ATLGB-ATLBROBINSON7-25,0.7100,0.7200,0.7200,478.44
KXNFLRECYDS-26SEP24ATLGB-GBCWATSON9-80,0.3700,0.3800,0.3800,2457.54
KXNFLRECYDS-26SEP24ATLGB-GBCBROOKS30-15,0.2800,0.2900,0.2800,399.95
KXNFLRECYDS-26SEP24ATLGB-GBTKRAFT85-100,0.0600,0.0800,0.0800,816.50
KXNFLRECYDS-26SEP24ATLGB-ATLDLONDON5-25,0.8700,0.8800,0.8800,383.56
KXNFLRECYDS-26SEP24ATLGB-ATLDLONDON5-130,0.0700,0.0900,0.0900,315.88
KXNFLRECYDS-26SEP24ATLGB-GBTKRAFT85-60,0.3200,0.3400,0.3400,2135.40
KXNFLRECYDS-26SEP24ATLGB-ATLJDOTSON4-60,0.0700,0.0800,0.0800,492.56
KXNFLRECYDS-26SEP24ATLGB-ATLDLONDON5-140,0.0400,0.0700,0.0700,82.06
KXNFLRECYDS-26SEP24ATLGB-GBTKRAFT85-110,0.0400,0.0600,0.0600,705.74
KXNFLRECYDS-26SEP24ATLGB-ATLDLONDON5-90,0.2600,0.2800,0.2800,5642.65
KXNFLRECYDS-26SEP24ATLGB-GBJSMITH18-15,0.3100,0.3200,0.3200,12894.30
KXNFLRECYDS-26SEP24ATLGB-ATLKPITTS8-90,0.0300,0.0500,0.0400,1764.83
KXNFLRECYDS-26SEP24ATLGB-GBSMOORE23-40,0.0600,0.0800,0.0600,1182.02
KXNFLRECYDS-26SEP24ATLGB-ATLBROBINSON7-70,0.1700,0.1800,0.1800,373.93
KXNFLRECYDS-26SEP24ATLGB-ATLJDOTSON4-50,0.1100,0.1300,0.1200,810.68
KXNFLRECYDS-26SEP24ATLGB-GBMLLOYD32-15,0.2300,0.2400,0.2300,19819.01
KXNFLRECYDS-26SEP24ATLGB-ATLKPITTS8-60,0.2100,0.2200,0.2200,4439.70
KXNFLRECYDS-26SEP24ATLGB-GBSMOORE23-25,0.1700,0.2000,0.2100,380.14
KXNFLRECYDS-26SEP24ATLGB-GBTKRAFT85-40,0.5800,0.5900,0.5900,10054.52
KXNFLRECYDS-26SEP24ATLGB-ATLKPITTS8-80,0.0800,0.0900,0.0900,5029.67
KXNFLRECYDS-26SEP24ATLGB-GBCWATSON9-140,0.0700,0.0800,0.0700,697.43
KXNFLRECYDS-26SEP24ATLGB-GBSMOORE23-50,0.0200,0.0600,0.0600,357.00
