ticker,yes_bid,yes_ask,last_price,volume
KXNFLRECYDS-26SEP27HOUIND-INDJDOWNS2-70,0.2700,0.3000,0.3000,31.21
KXNFLRECYDS-26SEP27HOUIND-INDKALLEN10-15,0.7800,0.8000,0.7800,2.00
KXNFLRECYDS-26SEP27HOUIND-INDLTREADWELL13-70,0.0300,0.0600,0.0000,0.00
KXNFLRECYDS-26SEP27HOUIND-HOUJNOEL13-80,0.0500,0.0900,0.0900,20.89
KXNFLRECYDS-26SEP27HOUIND-INDJDOWNS2-100,0.0700,0.1200,0.0000,0.00
KXNFLRECYDS-26SEP27HOUIND-INDJDOWNS2-120,0.0300,0.0600,0.0000,0.00
KXNFLRECYDS-26SEP27HOUIND-INDTWARREN84-45,0.5000,0.5200,0.4900,507.03
KXNFLRECYDS-26SEP27HOUIND-INDJTAYLOR28-60,0.0500,0.1000,0.0000,0.00
KXNFLRECYDS-26SEP27HOUIND-HOUJWAYNE17-15,0.5100,0.5300,0.5000,48.30
KXNFLRECYDS-26SEP27HOUIND-INDJDOWNS2-90,0.1200,0.1600,0.1200,1.00
KXNFLRECYDS-26SEP27HOUIND-HOUDMONTGOMERY32-15,0.3100,0.3200,0.3200,984.80
KXNFLRECYDS-26SEP27HOUIND-INDKALLEN10-25,0.6100,0.6400,0.0000,0.00
KXNFLRECYDS-26SEP27HOUIND-INDLTREADWELL13-25,0.3600,0.3900,0.3900,75.44
KXNFLRECYDS-26SEP27HOUIND-INDDSLAYTON11-60,0.0300,0.0600,0.0000,0.00
KXNFLRECYDS-26SEP27HOUIND-INDLTREADWELL13-60,0.0600,0.1000,0.0000,0.00
KXNFLRECYDS-26SEP27HOUIND-INDJDOWNS2-110,0.0500,0.0900,0.0000,0.00
KXNFLRECYDS-26SEP27HOUIND-INDJTAYLOR28-15,0.6400,0.6700,0.6700,21.88
KXNFLRECYDS-26SEP27HOUIND-INDJDOWNS2-80,0.1800,0.2100,0.2200,169.56
KXNFLRECYDS-26SEP27HOUIND-HOUWMARKS4-25,0.2200,0.2300,0.0000,0.00
KXNFLRECYDS-26SEP27HOUIND-INDLTREADWELL13-50,0.1100,0.1500,0.1500,15.73
KXNFLRECYDS-26SEP27HOUIND-HOUJWAYNE17-60,0.0800,0.1000,0.1000,1429.42
KXNFLRECYDS-26SEP27HOUIND-HOUDMONTGOMERY32-50,0.0200,0.0400,0.0000,0.00
KXNFLRECYDS-26SEP27HOUIND-HOUJNOEL13-70,0.0900,0.1300,0.1100,71.69
KXNFLRECYDS-26SEP27HOUIND-HOUDMONTGOMERY32-40,0.0300,0.0700,0.0000,0.00
KXNFLRECYDS-26SEP27HOUIND-HOUWMARKS4-40,0.0900,0.1000,0.1000,47.03
KXNFLRECYDS-26SEP27HOUIND-HOUWMARKS4-50,0.0400,0.0600,0.0600,78.18
KXNFLRECYDS-26SEP27HOUIND-HOUWMARKS4-15,0.4100,0.4300,0.4300,290.42
KXNFLRECYDS-26SEP27HOUIND-INDJDOWNS2-25,0.7900,0.8200,0.0000,0.00
KXNFLRECYDS-26SEP27HOUIND-INDJDOWNS2-60,0.3700,0.4000,0.4000,195.10
KXNFLRECYDS-26SEP27HOUIND-HOUJNOEL13-15,0.6900,0.7200,0.0000,0.00
KXNFLRECYDS-26SEP27HOUIND-INDDSLAYTON11-40,0.1100,0.1400,0.1400,385.41
KXNFLRECYDS-26SEP27HOUIND-INDDSLAYTON11-50,0.0600,0.0900,0.0900,522.28
KXNFLRECYDS-26SEP27HOUIND-INDDSLAYTON11-25,0.2500,0.2900,0.2900,190.25
KXNFLRECYDS-26SEP27HOUIND-HOUJNOEL13-25,0.5500,0.5600,0.5600,5969.56
KXNFLRECYDS-26SEP27HOUIND-HOUDSCHULTZ86-50,0.5400,0.5600,0.5600,5425.57
KXNFLRECYDS-26SEP27HOUIND-HOUDMONTGOMERY32-25,0.1400,0.1500,0.1500,9372.45
KXNFLRECYDS-26SEP27HOUIND-INDJTAYLOR28-50,0.1000,0.1500,0.0000,0.00
KXNFLRECYDS-26SEP27HOUIND-INDKALLEN10-50,0.2400,0.2800,0.0000,0.00
KXNFLRECYDS-26SEP27HOUIND-INDLTREADWELL13-40,0.1900,0.2200,0.2200,21.77
KXNFLRECYDS-26SEP27HOUIND-HOUJWAYNE17-40,0.1700,0.2000,0.2000,2398.71
KXNFLRECYDS-26SEP27HOUIND-INDJTAYLOR28-40,0.1900,0.2300,0.2000,38.79
KXNFLRECYDS-26SEP27HOUIND-INDJTAYLOR28-20,0.5300,0.5400,0.5300,4768.85
KXNFLRECYDS-26SEP27HOUIND-HOUJWAYNE17-50,0.1000,0.1200,0.1000,178.35
KXNFLRECYDS-26SEP27HOUIND-INDJDOWNS2-40,0.6200,0.6300,0.6100,268.20
KXNFLRECYDS-26SEP27HOUIND-INDKALLEN10-60,0.1500,0.1900,0.1900,3.00
KXNFLRECYDS-26SEP27HOUIND-HOUJWAYNE17-25,0.3300,0.3500,0.3500,77.30
KXNFLRECYDS-26SEP27HOUIND-INDKALLEN10-70,0.1000,0.1300,0.1300,37.00
KXNFLRECYDS-26SEP27HOUIND-INDKALLEN10-40,0.3900,0.4000,0.4000,675.96
KXNFLRECYDS-26SEP27HOUIND-HOUJNOEL13-40,0.3300,0.3500,0.3400,370.30
KXNFLRECYDS-26SEP27HOUIND-HOUJNOEL13-50,0.2300,0.2500,0.2400,14.91
KXNFLRECYDS-26SEP27HOUIND-HOUXHUTCHINSON19-40,0.4800,0.5100,0.5000,548.25
KXNFLRECYDS-26SEP27HOUIND-INDDSLAYTON11-15,0.4300,0.4500,0.4500,2871.08
KXNFLRECYDS-26SEP27HOUIND-INDLTREADWELL13-15,0.5300,0.5500,0.5600,251.11
KXNFLRECYDS-26SEP27HOUIND-INDKALLEN10-90,0.0300,0.0700,0.0000,0.00
KXNFLRECYDS-26SEP27HOUIND-INDKALLEN10-100,0.0200,0.0500,0.0000,0.00
KXNFLRECYDS-26SEP27HOUIND-INDJDOWNS2-50,0.5000,0.5100,0.5200,394.91
KXNFLRECYDS-26SEP27HOUIND-INDJTAYLOR28-25,0.4200,0.4500,0.4100,10.00
KXNFLRECYDS-26SEP27HOUIND-HOUJNOEL13-60,0.1500,0.1800,0.1800,62.26
