ticker,yes_bid,yes_ask,last_price,volume
KXNFLRECYDS-26SEP27LACBUF-BUFJCOOK4-25,0.0800,0.2400,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACOHAMPTON8-50,0.0200,0.0600,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACOGADSDEN86-100,0.0200,0.0800,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-BUFDKINCAID86-70,0.2000,0.3600,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-BUFKSHAKIR10-70,0.0500,0.2100,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACLMCCONKEY15-100,0.1300,0.1600,0.1500,31.46
KXNFLRECYDS-26SEP27LACBUF-LACOGADSDEN86-90,0.0200,0.0900,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-BUFKSHAKIR10-100,0.0200,0.0800,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACOGADSDEN86-15,0.7400,0.8400,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-BUFKSHAKIR10-80,0.0600,0.1500,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACOGADSDEN86-70,0.0800,0.1700,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACOGADSDEN86-25,0.6000,0.7000,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-BUFJCOOK4-15,0.3200,0.4100,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACOGADSDEN86-60,0.1500,0.2400,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-BUFKSHAKIR10-25,0.6500,0.7400,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-BUFDKINCAID86-130,0.0500,0.0900,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-BUFDKINCAID86-120,0.0200,0.1100,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-BUFDKINCAID86-140,0.0200,0.0700,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-BUFKSHAKIR10-90,0.0300,0.1000,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACQJOHNSTON1-15,0.7700,0.8300,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-BUFJCOOK4-50,0.0500,0.0800,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACTHARRIS9-50,0.2000,0.2600,0.2400,92.30
KXNFLRECYDS-26SEP27LACBUF-BUFDKINCAID86-25,0.7600,0.8500,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACOGADSDEN86-40,0.3700,0.4600,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-BUFKSHAKIR10-40,0.4500,0.5100,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-BUFDKINCAID86-90,0.1300,0.2200,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACTHARRIS9-70,0.0500,0.1100,0.1000,4.00
KXNFLRECYDS-26SEP27LACBUF-LACOGADSDEN86-80,0.0300,0.1200,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-BUFJCOOK4-40,0.0300,0.1000,0.1000,83.25
KXNFLRECYDS-26SEP27LACBUF-BUFDKINCAID86-100,0.0800,0.1500,0.1600,59.02
KXNFLRECYDS-26SEP27LACBUF-BUFDKINCAID86-110,0.0400,0.1200,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-BUFKSHAKIR10-60,0.1300,0.2900,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-BUFDKINCAID86-40,0.6900,0.7000,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACOGADSDEN86-50,0.2400,0.3400,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-BUFKSHAKIR10-15,0.7800,0.8700,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACLMCCONKEY15-110,0.0700,0.1200,0.1200,200.00
KXNFLRECYDS-26SEP27LACBUF-BUFDKINCAID86-60,0.3800,0.4700,0.4700,52.17
KXNFLRECYDS-26SEP27LACBUF-BUFKSHAKIR10-110,0.0200,0.0700,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACQJOHNSTON1-50,0.2600,0.3300,0.2800,4.03
KXNFLRECYDS-26SEP27LACBUF-LACQJOHNSTON1-90,0.0200,0.0800,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACLMCCONKEY15-120,0.0400,0.0900,0.1000,1000.00
KXNFLRECYDS-26SEP27LACBUF-LACTHARRIS9-40,0.3000,0.3500,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACOHAMPTON8-25,0.1700,0.2300,0.1700,0.01
KXNFLRECYDS-26SEP27LACBUF-LACLMCCONKEY15-90,0.1800,0.2100,0.1800,70.95
KXNFLRECYDS-26SEP27LACBUF-LACQJOHNSTON1-40,0.4000,0.4500,0.4700,504.04
KXNFLRECYDS-26SEP27LACBUF-LACTHARRIS9-80,0.0200,0.0600,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACLMCCONKEY15-80,0.2500,0.2900,0.2700,1041.78
KXNFLRECYDS-26SEP27LACBUF-LACQJOHNSTON1-60,0.1700,0.2200,0.1600,12.02
KXNFLRECYDS-26SEP27LACBUF-BUFDKINCAID86-50,0.5000,0.5900,0.5900,65.89
KXNFLRECYDS-26SEP27LACBUF-BUFKSHAKIR10-50,0.3100,0.4000,0.4000,71.97
KXNFLRECYDS-26SEP27LACBUF-LACLMCCONKEY15-55,0.5000,0.5100,0.5100,4155.40
KXNFLRECYDS-26SEP27LACBUF-BUFDKINCAID86-80,0.1900,0.2700,0.2800,51.04
KXNFLRECYDS-26SEP27LACBUF-LACLMCCONKEY15-60,0.4300,0.4600,0.4400,46.85
KXNFLRECYDS-26SEP27LACBUF-LACLMCCONKEY15-25,0.8100,0.8400,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACOHAMPTON8-15,0.3600,0.4300,0.4200,16.35
KXNFLRECYDS-26SEP27LACBUF-LACTHARRIS9-15,0.6900,0.7400,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACTHARRIS9-25,0.5300,0.5800,0.0000,0.00
KXNFLRECYDS-26SEP27LACBUF-LACLMCCONKEY15-50,0.5400,0.5800,0.5800,483.01
KXNFLRECYDS-26SEP27LACBUF-LACQJOHNSTON1-70,0.0500,0.1800,0.1400,3.00
KXNFLRECYDS-26SEP27LACBUF-LACLMCCONKEY15-70,0.3400,0.3700,0.3600,602.08
KXNFLRECYDS-26SEP27LACBUF-LACQJOHNSTON1-25,0.6200,0.6800,0.0000,0.00
