ticker,yes_bid,yes_ask,last_price,volume
KXNFLRECYDS-26SEP27MINTB-TBEEGBUKA2-70,0.2700,0.2900,0.0000,0.00
KXNFLRECYDS-26SEP27MINTB-TBCGODWIN14-80,0.0800,0.1200,0.0000,0.00
KXNFLRECYDS-26SEP27MINTB-MINJADDISON3-90,0.0600,0.1000,0.0000,0.00
KXNFLRECYDS-26SEP27MINTB-TBKGAINWELL1-25,0.1900,0.2000,0.2000,167.92
KXNFLRECYDS-26SEP27MINTB-MINJADDISON3-60,0.2400,0.2500,0.2300,162.19
KXNFLRECYDS-26SEP27MINTB-TBKGAINWELL1-50,0.0500,0.0600,0.0600,234.56
KXNFLRECYDS-26SEP27MINTB-MINJADDISON3-100,0.0400,0.0700,0.0700,811.18
KXNFLRECYDS-26SEP27MINTB-MINTHOCKENSON87-25,0.6000,0.6200,0.6200,78.55
KXNFLRECYDS-26SEP27MINTB-TBJMCMILLAN11-40,0.1400,0.1700,0.1600,33.00
KXNFLRECYDS-26SEP27MINTB-TBTHURST17-15,0.6400,0.6600,0.0000,0.00
KXNFLRECYDS-26SEP27MINTB-TBJMCMILLAN11-60,0.0500,0.1000,0.0000,0.00
KXNFLRECYDS-26SEP27MINTB-TBEEGBUKA2-25,0.7600,0.8000,0.0000,0.00
KXNFLRECYDS-26SEP27MINTB-TBCGODWIN14-25,0.6300,0.6500,0.0000,0.00
KXNFLRECYDS-26SEP27MINTB-TBCGODWIN14-70,0.1400,0.1700,0.0000,0.00
KXNFLRECYDS-26SEP27MINTB-TBJMCMILLAN11-70,0.0200,0.0700,0.0000,0.00
KXNFLRECYDS-26SEP27MINTB-MINAJONES33-50,0.0400,0.0900,0.0000,0.00
KXNFLRECYDS-26SEP27MINTB-MINJOLIVER84-40,0.0600,0.1100,0.0000,0.00
KXNFLRECYDS-26SEP27MINTB-TBKGAINWELL1-15,0.3700,0.3800,0.3800,11508.81
KXNFLRECYDS-26SEP27MINTB-TBTHURST17-80,0.0300,0.0800,0.0000,0.00
KXNFLRECYDS-26SEP27MINTB-TBCGODWIN14-60,0.2100,0.2400,0.0000,0.00
KXNFLRECYDS-26SEP27MINTB-TBTHURST17-60,0.1000,0.1400,0.0000,0.00
KXNFLRECYDS-26SEP27MINTB-TBJMCMILLAN11-25,0.2900,0.3400,0.3200,43.46
KXNFLRECYDS-26SEP27MINTB-TBCOTTON88-40,0.2800,0.3100,0.3000,8.03
KXNFLRECYDS-26SEP27MINTB-MINTHOCKENSON87-40,0.3300,0.3600,0.3600,66.89
KXNFLRECYDS-26SEP27MINTB-MINJADDISON3-25,0.6500,0.6700,0.6500,162.99
KXNFLRECYDS-26SEP27MINTB-MINJJEFFERSON18-150,0.0300,0.0600,0.0500,100.00
KXNFLRECYDS-26SEP27MINTB-MINJJEFFERSON18-140,0.0300,0.0800,0.0000,0.00
KXNFLRECYDS-26SEP27MINTB-TBTHURST17-25,0.4800,0.5000,0.4600,18.00
KXNFLRECYDS-26SEP27MINTB-TBTHURST17-70,0.0600,0.1100,0.0000,0.00
KXNFLRECYDS-26SEP27MINTB-TBCOTTON88-70,0.0400,0.1000,0.0000,0.00
KXNFLRECYDS-26SEP27MINTB-MINJJEFFERSON18-120,0.0600,0.1400,0.0000,0.00
KXNFLRECYDS-26SEP27MINTB-MINJJEFFERSON18-50,0.7000,0.7200,0.7200,97.54
KXNFLRECYDS-26SEP27MINTB-MINJJENNINGS14-50,0.0600,0.0900,0.0700,3201.00
KXNFLRECYDS-26SEP27MINTB-TBTHURST17-40,0.2500,0.2900,0.0000,0.00
