ticker,yes_bid,yes_ask,last_price,volume
KXNFLRECYDS-26SEP27NEJAC-NERDOUBS87-25,0.7100,0.7400,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-JACJMEYERS3-50,0.2700,0.3100,0.2800,30.00
KXNFLRECYDS-26SEP27NEJAC-NERSTEVENSON38-25,0.2700,0.2800,0.2900,32.01
KXNFLRECYDS-26SEP27NEJAC-JACBTUTEN33-15,0.3700,0.3800,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-JACBTHOMAS7-40,0.4400,0.4500,0.4500,741.44
KXNFLRECYDS-26SEP27NEJAC-NEMHOLLINS13-90,0.0400,0.0800,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NEHHENRY85-90,0.0600,0.1100,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NERDOUBS87-110,0.0200,0.0700,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NEHHENRY85-100,0.0200,0.0800,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-JACBSTRANGE85-80,0.0300,0.0700,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NEHHENRY85-50,0.3800,0.4100,0.3800,5.95
KXNFLRECYDS-26SEP27NEJAC-NEMHOLLINS13-60,0.1900,0.2200,0.2100,721.00
KXNFLRECYDS-26SEP27NEJAC-JACJMEYERS3-100,0.0200,0.0600,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-JACJMEYERS3-80,0.0600,0.1000,0.0900,20.89
KXNFLRECYDS-26SEP27NEJAC-NEMHOLLINS13-70,0.1100,0.1500,0.1500,200.00
KXNFLRECYDS-26SEP27NEJAC-NERSTEVENSON38-40,0.1100,0.1200,0.1200,730.24
KXNFLRECYDS-26SEP27NEJAC-NETHENDERSON32-15,0.3500,0.3700,0.3700,746.33
KXNFLRECYDS-26SEP27NEJAC-NERDOUBS87-70,0.2100,0.2400,0.2400,1815.00
KXNFLRECYDS-26SEP27NEJAC-JACPWASHINGTON11-80,0.3500,0.3700,0.3600,1227.06
KXNFLRECYDS-26SEP27NEJAC-JACBTUTEN33-25,0.2000,0.2100,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-JACJMEYERS3-25,0.6500,0.6600,0.6700,451.10
KXNFLRECYDS-26SEP27NEJAC-JACBSTRANGE85-90,0.0200,0.0500,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-JACPWASHINGTON11-100,0.1800,0.2100,0.1800,466.67
KXNFLRECYDS-26SEP27NEJAC-JACBTHOMAS7-90,0.0600,0.1000,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NEHHENRY85-80,0.1000,0.1500,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NERDOUBS87-100,0.0600,0.0900,0.0700,200.00
KXNFLRECYDS-26SEP27NEJAC-JACPWASHINGTON11-50,0.6300,0.6700,0.6600,63.11
KXNFLRECYDS-26SEP27NEJAC-JACBTHOMAS7-15,0.7700,0.8100,0.8100,24.00
KXNFLRECYDS-26SEP27NEJAC-JACJMEYERS3-15,0.7900,0.8000,0.7900,287.08
KXNFLRECYDS-26SEP27NEJAC-NERDOUBS87-15,0.8300,0.8500,0.8600,14.00
KXNFLRECYDS-26SEP27NEJAC-NEDDOUGLAS3-70,0.0800,0.1100,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NERDOUBS87-80,0.1500,0.1800,0.1700,2279.00
KXNFLRECYDS-26SEP27NEJAC-JACJMEYERS3-70,0.1200,0.1400,0.1400,209.43
KXNFLRECYDS-26SEP27NEJAC-JACBTHOMAS7-50,0.3300,0.3600,0.3600,906.00
KXNFLRECYDS-26SEP27NEJAC-NERDOUBS87-40,0.5300,0.5500,0.5500,1882.63
KXNFLRECYDS-26SEP27NEJAC-NEHHENRY85-40,0.5100,0.5200,0.5200,138.86
KXNFLRECYDS-26SEP27NEJAC-JACJMEYERS3-40,0.4000,0.4100,0.4100,773.93
KXNFLRECYDS-26SEP27NEJAC-NEMHOLLINS13-50,0.2800,0.3000,0.2700,1224.04
KXNFLRECYDS-26SEP27NEJAC-NEMHOLLINS13-15,0.7600,0.7900,0.7900,397.05
KXNFLRECYDS-26SEP27NEJAC-JACJMEYERS3-35,0.4900,0.5100,0.5000,283.16
KXNFLRECYDS-26SEP27NEJAC-JACBTUTEN33-50,0.0300,0.0700,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NETHENDERSON32-25,0.1900,0.2000,0.2000,894.46
KXNFLRECYDS-26SEP27NEJAC-JACPWASHINGTON11-110,0.1300,0.1700,0.1500,31.50
KXNFLRECYDS-26SEP27NEJAC-NEDDOUGLAS3-40,0.3300,0.3600,0.3600,16.00
KXNFLRECYDS-26SEP27NEJAC-NEMHOLLINS13-40,0.4000,0.4300,0.4000,5.06
KXNFLRECYDS-26SEP27NEJAC-JACPWASHINGTON11-90,0.2500,0.2800,0.2800,274.47
KXNFLRECYDS-26SEP27NEJAC-JACBTHOMAS7-60,0.2300,0.2500,0.2400,785.12
KXNFLRECYDS-26SEP27NEJAC-JACBTHOMAS7-80,0.1000,0.1300,0.1100,836.18
KXNFLRECYDS-26SEP27NEJAC-JACBTHOMAS7-70,0.1600,0.1900,0.1600,808.00
KXNFLRECYDS-26SEP27NEJAC-JACBTUTEN33-40,0.0700,0.0900,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NERDOUBS87-50,0.4000,0.4300,0.4000,1172.44
KXNFLRECYDS-26SEP27NEJAC-NEDDOUGLAS3-15,0.7200,0.7600,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NERDOUBS87-60,0.3000,0.3300,0.3200,2081.93
KXNFLRECYDS-26SEP27NEJAC-JACBTHOMAS7-100,0.0400,0.0700,0.0700,1033.00
KXNFLRECYDS-26SEP27NEJAC-NEHHENRY85-70,0.1700,0.2100,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-JACPWASHINGTON11-70,0.4200,0.4600,0.4600,2857.61
KXNFLRECYDS-26SEP27NEJAC-JACBSTRANGE85-40,0.2800,0.3200,0.3200,101.29
KXNFLRECYDS-26SEP27NEJAC-NETHENDERSON32-40,0.0600,0.0900,0.0800,1000.00
KXNFLRECYDS-26SEP27NEJAC-JACPWASHINGTON11-25,0.8500,0.9000,0.8900,16.00
KXNFLRECYDS-26SEP27NEJAC-NEMHOLLINS13-25,0.6200,0.6400,0.6300,1211.77
KXNFLRECYDS-26SEP27NEJAC-JACBTUTEN33-10,0.5100,0.5200,0.5200,4295.87
KXNFLRECYDS-26SEP27NEJAC-NEHHENRY85-15,0.8400,0.8600,0.8600,7.62
KXNFLRECYDS-26SEP27NEJAC-JACBSTRANGE85-25,0.5400,0.5600,0.5400,0.02
KXNFLRECYDS-26SEP27NEJAC-NEHHENRY85-110,0.0200,0.0600,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NEDDOUGLAS3-50,0.2200,0.2500,0.2100,2.00
KXNFLRECYDS-26SEP27NEJAC-JACBTHOMAS7-110,0.0500,0.0600,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-JACBSTRANGE85-15,0.7200,0.7400,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-JACPWASHINGTON11-130,0.0400,0.1000,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-JACPWASHINGTON11-140,0.0300,0.0800,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-JACJMEYERS3-60,0.1700,0.2100,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-JACPWASHINGTON11-120,0.0700,0.1300,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-JACBSTRANGE85-60,0.0900,0.1400,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NEDDOUGLAS3-90,0.0200,0.0600,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NEMHOLLINS13-80,0.0700,0.1100,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-JACPWASHINGTON11-150,0.0200,0.0600,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NEDDOUGLAS3-80,0.0400,0.0800,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NEDDOUGLAS3-25,0.5500,0.5900,0.5500,0.02
KXNFLRECYDS-26SEP27NEJAC-NEHHENRY85-60,0.2600,0.3000,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NERSTEVENSON38-15,0.4800,0.5000,0.5000,126.37
KXNFLRECYDS-26SEP27NEJAC-JACBSTRANGE85-50,0.1700,0.2100,0.1200,17.01
KXNFLRECYDS-26SEP27NEJAC-JACBTHOMAS7-25,0.6500,0.6800,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NEDDOUGLAS3-60,0.1400,0.1600,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-JACBSTRANGE85-70,0.0500,0.1000,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NERSTEVENSON38-50,0.0600,0.0700,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NEHHENRY85-25,0.7200,0.7300,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-JACPWASHINGTON11-40,0.7300,0.7700,0.7700,21.00
KXNFLRECYDS-26SEP27NEJAC-JACPWASHINGTON11-60,0.5400,0.5700,0.5700,13997.17
KXNFLRECYDS-26SEP27NEJAC-JACJMEYERS3-90,0.0400,0.0700,0.0000,0.00
KXNFLRECYDS-26SEP27NEJAC-NERDOUBS87-90,0.0900,0.1200,0.1000,200.00
