ticker,yes_bid,yes_ask,last_price,volume
KXNFLRECYDS-26SEP27NYJDET-NYJAMITCHELL15-60,0.3500,0.3800,0.3500,25.64
KXNFLRECYDS-26SEP27NYJDET-DETSLAPORTA87-70,0.2100,0.2500,0.2100,31.34
KXNFLRECYDS-26SEP27NYJDET-DETASTBROWN14-120,0.1200,0.1900,0.1200,5.02
KXNFLRECYDS-26SEP27NYJDET-NYJAMITCHELL15-80,0.1900,0.2200,0.2000,23.67
KXNFLRECYDS-26SEP27NYJDET-DETJWILLIAMS1-40,0.6400,0.6700,0.6700,80.23
KXNFLRECYDS-26SEP27NYJDET-NYJAMITCHELL15-15,0.8600,0.8900,0.9000,2000.00
KXNFLRECYDS-26SEP27NYJDET-DETSLAPORTA87-50,0.4300,0.4600,0.4300,15.01
KXNFLRECYDS-26SEP27NYJDET-NYJGWILSON5-40,0.7400,0.7700,0.7700,2000.00
KXNFLRECYDS-26SEP27NYJDET-NYJAMITCHELL15-25,0.7500,0.7900,0.7900,12.34
KXNFLRECYDS-26SEP27NYJDET-DETASTBROWN14-140,0.0300,0.1000,0.0000,0.00
KXNFLRECYDS-26SEP27NYJDET-DETJGIBBS0-50,0.2600,0.3000,0.2600,5.00
KXNFLRECYDS-26SEP27NYJDET-NYJGWILSON5-80,0.3300,0.3500,0.3500,209.65
KXNFLRECYDS-26SEP27NYJDET-DETJWILLIAMS1-25,0.8000,0.8300,0.8000,2008.00
KXNFLRECYDS-26SEP27NYJDET-NYJBHALL20-25,0.4100,0.4500,0.4400,239.05
KXNFLRECYDS-26SEP27NYJDET-NYJGWILSON5-50,0.6300,0.6600,0.6300,11.41
KXNFLRECYDS-26SEP27NYJDET-DETASTBROWN14-60,0.6700,0.6900,0.6900,24.18
KXNFLRECYDS-26SEP27NYJDET-NYJGWILSON5-70,0.4300,0.4500,0.4500,185.92
KXNFLRECYDS-26SEP27NYJDET-NYJGWILSON5-60,0.5500,0.5600,0.5600,6941.00
KXNFLRECYDS-26SEP27NYJDET-NYJAMITCHELL15-50,0.4600,0.4900,0.4800,5885.53
KXNFLRECYDS-26SEP27NYJDET-DETASTBROWN14-50,0.7500,0.7800,0.0000,0.00
KXNFLRECYDS-26SEP27NYJDET-NYJGWILSON5-90,0.2400,0.2800,0.2400,70.29
KXNFLRECYDS-26SEP27NYJDET-DETASTBROWN14-40,0.8500,0.8600,0.8400,2524.44
KXNFLRECYDS-26SEP27NYJDET-NYJAMITCHELL15-40,0.5900,0.6200,0.6000,554.07
KXNFLRECYDS-26SEP27NYJDET-NYJAMITCHELL15-70,0.2700,0.3000,0.2800,2200.13
KXNFLRECYDS-26SEP27NYJDET-NYJBHALL20-15,0.6400,0.6800,0.6800,2000.00
KXNFLRECYDS-26SEP27NYJDET-NYJAMITCHELL15-100,0.0700,0.1200,0.0000,0.00
KXNFLRECYDS-26SEP27NYJDET-DETSLAPORTA87-110,0.0500,0.0700,0.0000,0.00
KXNFLRECYDS-26SEP27NYJDET-DETJGIBBS0-15,0.8200,0.8500,0.8600,2000.00
KXNFLRECYDS-26SEP27NYJDET-NYJGWILSON5-100,0.1600,0.2100,0.2100,56.12
KXNFLRECYDS-26SEP27NYJDET-NYJAMITCHELL15-120,0.0200,0.0600,0.0000,0.00
KXNFLRECYDS-26SEP27NYJDET-NYJGWILSON5-110,0.0700,0.1600,0.0000,0.00
KXNFLRECYDS-26SEP27NYJDET-DETJWILLIAMS1-120,0.0200,0.0700,0.0900,11.49
KXNFLRECYDS-26SEP27NYJDET-NYJGWILSON5-120,0.0500,0.1200,0.0000,0.00
KXNFLRECYDS-26SEP27NYJDET-DETSLAPORTA87-40,0.5600,0.5900,0.5900,34.98
KXNFLRECYDS-26SEP27NYJDET-DETJGIBBS0-60,0.1500,0.2000,0.0000,0.00
KXNFLRECYDS-26SEP27NYJDET-DETJWILLIAMS1-60,0.4300,0.4400,0.4500,14.10
KXNFLRECYDS-26SEP27NYJDET-DETJWILLIAMS1-100,0.1300,0.1400,0.1400,88.13
