ticker,yes_bid,yes_ask,last_price,volume
KXNFLRECYDS-26SEP27SEAWAS-WASTMCLAURIN17-60,0.2900,0.3200,0.3100,3.07
KXNFLRECYDS-26SEP27SEAWAS-SEAJSMITHNJIGBA11-80,0.6000,0.6200,0.6200,1290.43
KXNFLRECYDS-26SEP27SEAWAS-SEACKUPP10-80,0.0200,0.0600,0.0000,0.00
KXNFLRECYDS-26SEP27SEAWAS-WASTMCLAURIN17-50,0.3900,0.4200,0.4200,7.00
KXNFLRECYDS-26SEP27SEAWAS-WASTMCLAURIN17-25,0.7000,0.7300,0.0000,0.00
KXNFLRECYDS-26SEP27SEAWAS-SEAJSMITHNJIGBA11-170,0.0600,0.0900,0.0800,1204.54
KXNFLRECYDS-26SEP27SEAWAS-SEATHORTON15-15,0.2400,0.2700,0.2600,352.88
KXNFLRECYDS-26SEP27SEAWAS-WASTMCLAURIN17-100,0.0500,0.0800,0.0000,0.00
KXNFLRECYDS-26SEP27SEAWAS-SEAABARNER88-60,0.0400,0.0900,0.1000,9.40
KXNFLRECYDS-26SEP27SEAWAS-SEAEARROYO18-25,0.0900,0.1500,0.0000,0.00
KXNFLRECYDS-26SEP27SEAWAS-SEACKUPP10-60,0.0600,0.1200,0.0000,0.00
KXNFLRECYDS-26SEP27SEAWAS-SEATHORTON15-25,0.0900,0.1500,0.0000,0.00
KXNFLRECYDS-26SEP27SEAWAS-WASSDIGGS3-90,0.0500,0.0600,0.0700,5139.00
KXNFLRECYDS-26SEP27SEAWAS-SEARSHAHEED22-15,0.7000,0.7200,0.7000,34.86
KXNFLRECYDS-26SEP27SEAWAS-WASSDIGGS3-100,0.0200,0.0500,0.0500,4700.00
KXNFLRECYDS-26SEP27SEAWAS-WASAWILLIAMS14-50,0.0600,0.0900,0.1000,4000.00
KXNFLRECYDS-26SEP27SEAWAS-WASRWHITE1-15,0.5400,0.5500,0.5600,191.10
KXNFLRECYDS-26SEP27SEAWAS-SEAEARROYO18-15,0.1300,0.2700,0.0000,0.00
KXNFLRECYDS-26SEP27SEAWAS-SEAJSMITHNJIGBA11-180,0.0500,0.0700,0.0700,3520.20
KXNFLRECYDS-26SEP27SEAWAS-SEACKUPP10-40,0.1900,0.2500,0.2400,80.42
KXNFLRECYDS-26SEP27SEAWAS-SEAJSMITHNJIGBA11-50,0.8200,0.8500,0.8400,130.89
KXNFLRECYDS-26SEP27SEAWAS-SEAJSMITHNJIGBA11-60,0.7400,0.7700,0.7800,107.85
KXNFLRECYDS-26SEP27SEAWAS-SEARSHAHEED22-90,0.0500,0.0600,0.0700,6382.20
KXNFLRECYDS-26SEP27SEAWAS-WASTMCLAURIN17-90,0.0800,0.1100,0.0000,0.00
KXNFLRECYDS-26SEP27SEAWAS-SEATHORTON15-40,0.0200,0.0800,0.0000,0.00
