ticker,yes_bid,yes_ask,last_price,volume
KXNFLRECYDS-26SEP28PHICHI-PHIDSMITH6-160,0.0200,0.0500,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-CHIRODUNZE15-15,0.6300,0.7000,0.7100,14.00
KXNFLRECYDS-26SEP28PHICHI-CHICLOVELAND84-40,0.4000,0.4100,0.4100,225.92
KXNFLRECYDS-26SEP28PHICHI-PHISBARKLEY26-15,0.4200,0.4800,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-PHIDSMITH6-130,0.0600,0.1100,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-CHICLOVELAND84-90,0.0500,0.0800,0.0800,322.94
KXNFLRECYDS-26SEP28PHICHI-PHIMLEMON9-60,0.1200,0.1700,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-CHICLOVELAND84-50,0.2500,0.3000,0.2500,66.10
KXNFLRECYDS-26SEP28PHICHI-CHIDSWIFT4-40,0.0500,0.1000,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-PHIDSMITH6-140,0.0400,0.0900,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-CHILBURDEN10-60,0.1500,0.2000,0.1600,0.03
KXNFLRECYDS-26SEP28PHICHI-PHIDSMITH6-110,0.1600,0.2100,0.2100,37.74
KXNFLRECYDS-26SEP28PHICHI-CHIDSWIFT4-50,0.0300,0.0700,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-CHILBURDEN10-40,0.4000,0.4100,0.4100,49.54
KXNFLRECYDS-26SEP28PHICHI-CHICLOVELAND84-80,0.0400,0.1100,0.1100,87.50
KXNFLRECYDS-26SEP28PHICHI-CHIKRAYMOND14-25,0.4700,0.5100,0.9900,14.00
KXNFLRECYDS-26SEP28PHICHI-CHIRODUNZE15-60,0.1000,0.1400,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-PHIDSMITH6-90,0.2900,0.3400,0.3500,19.11
KXNFLRECYDS-26SEP28PHICHI-CHIRODUNZE15-50,0.1700,0.2200,0.2200,4.12
KXNFLRECYDS-26SEP28PHICHI-PHISBARKLEY26-40,0.0500,0.1200,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-CHIKRAYMOND14-70,0.0400,0.0900,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-CHIDSWIFT4-15,0.3700,0.4000,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-CHIRODUNZE15-90,0.0200,0.0500,0.0500,381.05
KXNFLRECYDS-26SEP28PHICHI-PHIDWICKS13-50,0.4100,0.4400,0.4400,2606.07
KXNFLRECYDS-26SEP28PHICHI-CHILBURDEN10-70,0.1000,0.1400,0.0800,173.43
KXNFLRECYDS-26SEP28PHICHI-CHIRODUNZE15-70,0.0500,0.1100,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-PHIDSMITH6-150,0.0200,0.0700,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-PHIMLEMON9-40,0.3200,0.3500,0.3300,786.53
KXNFLRECYDS-26SEP28PHICHI-PHIMLEMON9-50,0.2400,0.2600,0.2200,656.84
KXNFLRECYDS-26SEP28PHICHI-PHIDSMITH6-50,0.6600,0.7300,0.7300,2.32
KXNFLRECYDS-26SEP28PHICHI-PHIDWICKS13-110,0.0400,0.0900,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-CHILBURDEN10-25,0.5600,0.6200,0.6100,16.00
KXNFLRECYDS-26SEP28PHICHI-PHISBARKLEY26-50,0.0300,0.0700,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-PHIMLEMON9-70,0.0800,0.1300,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-PHIMLEMON9-80,0.0400,0.1000,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-CHIKRAYMOND14-50,0.1400,0.1900,0.1800,2.00
KXNFLRECYDS-26SEP28PHICHI-CHICLOVELAND84-25,0.5800,0.6200,0.6400,78.96
KXNFLRECYDS-26SEP28PHICHI-PHIDWICKS13-40,0.5300,0.5400,0.5400,4265.75
KXNFLRECYDS-26SEP28PHICHI-PHIDSMITH6-40,0.7700,0.8100,0.8200,98.02
KXNFLRECYDS-26SEP28PHICHI-CHILBURDEN10-80,0.0600,0.1000,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-PHIDWICKS13-60,0.3200,0.3400,0.3400,1111.46
KXNFLRECYDS-26SEP28PHICHI-PHIMLEMON9-90,0.0200,0.0800,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-PHIDWICKS13-15,0.7800,0.8300,0.8300,1.00
KXNFLRECYDS-26SEP28PHICHI-PHIMLEMON9-15,0.6600,0.7000,0.6300,7.00
KXNFLRECYDS-26SEP28PHICHI-PHIDWICKS13-70,0.2400,0.2600,0.2600,890.54
KXNFLRECYDS-26SEP28PHICHI-CHIRODUNZE15-25,0.5000,0.5100,0.5000,20.09
KXNFLRECYDS-26SEP28PHICHI-CHILBURDEN10-90,0.0300,0.0700,0.0700,5.00
KXNFLRECYDS-26SEP28PHICHI-CHIKRAYMOND14-60,0.0700,0.1300,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-PHIDWICKS13-90,0.0900,0.1500,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-CHICLOVELAND84-60,0.1800,0.2000,0.2100,290.46
KXNFLRECYDS-26SEP28PHICHI-CHIRODUNZE15-80,0.0300,0.0800,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-PHIDWICKS13-80,0.1500,0.1700,0.1700,106.53
KXNFLRECYDS-26SEP28PHICHI-PHIDSMITH6-60,0.5800,0.6400,0.6400,1.51
KXNFLRECYDS-26SEP28PHICHI-PHIMLEMON9-25,0.5500,0.5600,0.5600,8300.17
KXNFLRECYDS-26SEP28PHICHI-CHIKRAYMOND14-40,0.2300,0.2900,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-PHISBARKLEY26-25,0.2200,0.2700,0.2700,1.83
KXNFLRECYDS-26SEP28PHICHI-CHIDSWIFT4-25,0.2000,0.2200,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-CHIKRAYMOND14-80,0.0200,0.0600,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-PHIDWICKS13-100,0.0600,0.1200,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-CHICLOVELAND84-15,0.7100,0.7600,0.7000,159.66
KXNFLRECYDS-26SEP28PHICHI-PHIDSMITH6-120,0.1000,0.1500,0.1600,29.51
KXNFLRECYDS-26SEP28PHICHI-CHICLOVELAND84-100,0.0300,0.0500,0.0500,317.75
KXNFLRECYDS-26SEP28PHICHI-CHIKRAYMOND14-15,0.6400,0.7000,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-PHIDSMITH6-70,0.4700,0.5400,0.5400,50.06
KXNFLRECYDS-26SEP28PHICHI-PHIDSMITH6-100,0.2200,0.2700,0.2800,21.39
KXNFLRECYDS-26SEP28PHICHI-CHICLOVELAND84-70,0.1000,0.1500,0.1500,80.08
KXNFLRECYDS-26SEP28PHICHI-CHILBURDEN10-15,0.6300,0.7400,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-CHILBURDEN10-50,0.2400,0.2800,0.3000,15.88
KXNFLRECYDS-26SEP28PHICHI-PHIDWICKS13-25,0.6600,0.7300,0.7300,14.01
KXNFLRECYDS-26SEP28PHICHI-CHIRODUNZE15-40,0.2600,0.3200,0.0000,0.00
KXNFLRECYDS-26SEP28PHICHI-PHIDSMITH6-80,0.3800,0.4300,0.4500,21.37
