ticker,yes_bid,yes_ask,last_price,volume
KXNFLRSHYDS-26SEP27HOUIND-INDDJONES17-10,0.4800,0.5200,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUCSTROUD7-25,0.0200,0.1700,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUCSTROUD7-30,0.0400,0.1200,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUCSTROUD7-15,0.2800,0.3600,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-INDDJONES17-25,0.0300,0.1700,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-INDDJONES17-30,0.0500,0.1200,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-INDDJONES17-20,0.1800,0.2500,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-INDDJONES17-15,0.2800,0.3600,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUDMONTGOMERY32-110,0.0100,0.0800,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUCSTROUD7-10,0.4700,0.5200,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUCSTROUD7-40,0.0100,0.1000,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-INDDJONES17-40,0.0100,0.1000,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUWMARKS4-70,0.0500,0.1000,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUWMARKS4-15,0.7500,0.7900,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUWMARKS4-60,0.0900,0.1300,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUDMONTGOMERY32-30,0.7500,0.7700,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUWMARKS4-50,0.1700,0.1900,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUWMARKS4-20,0.6500,0.6900,0.6400,3.00
KXNFLRSHYDS-26SEP27HOUIND-HOUDMONTGOMERY32-25,0.8100,0.8400,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-INDJTAYLOR28-50,0.7900,0.8400,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUWMARKS4-30,0.4500,0.4900,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUWMARKS4-25,0.5400,0.5900,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUDMONTGOMERY32-50,0.4500,0.4900,0.4900,63.82
KXNFLRSHYDS-26SEP27HOUIND-HOUDMONTGOMERY32-40,0.6000,0.6400,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUDMONTGOMERY32-60,0.3200,0.3600,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-INDJTAYLOR28-150,0.0400,0.1000,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-INDJTAYLOR28-60,0.7000,0.7500,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-INDJTAYLOR28-100,0.3100,0.3500,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-INDJTAYLOR28-80,0.5000,0.5400,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-INDJTAYLOR28-130,0.1200,0.1700,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUDMONTGOMERY32-80,0.1300,0.1600,0.1500,33.99
KXNFLRSHYDS-26SEP27HOUIND-HOUDMONTGOMERY32-70,0.2200,0.2700,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUDMONTGOMERY32-100,0.0300,0.1000,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUCSTROUD7-20,0.1700,0.2500,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUWMARKS4-40,0.2800,0.3100,0.2800,19.00
KXNFLRSHYDS-26SEP27HOUIND-INDJTAYLOR28-110,0.2400,0.2800,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUDMONTGOMERY32-90,0.0800,0.1300,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-INDJTAYLOR28-90,0.4000,0.4200,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-INDJTAYLOR28-140,0.0800,0.1200,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-INDJTAYLOR28-160,0.0100,0.0800,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-INDJTAYLOR28-70,0.6000,0.6400,0.5900,4.00
KXNFLRSHYDS-26SEP27HOUIND-INDJTAYLOR28-120,0.1700,0.1900,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-INDJTAYLOR28-170,0.0100,0.0400,0.0000,0.00
KXNFLRSHYDS-26SEP27HOUIND-HOUWMARKS4-80,0.0100,0.0700,0.0000,0.00
