ticker,yes_bid,yes_ask,last_price,volume
KXNFLRSHYDS-26SEP27NYJDET-DETJGIBBS0-150,0.0500,0.1000,0.0000,0.00
KXNFLRSHYDS-26SEP27NYJDET-NYJBHALL20-100,0.1300,0.1500,0.0000,0.00
KXNFLRSHYDS-26SEP27NYJDET-NYJBHALL20-40,0.7200,0.7500,0.0000,0.00
KXNFLRSHYDS-26SEP27NYJDET-NYJBHALL20-60,0.4500,0.4900,0.0000,0.00
KXNFLRSHYDS-26SEP27NYJDET-NYJBHALL20-90,0.1600,0.2000,0.0000,0.00
KXNFLRSHYDS-26SEP27NYJDET-DETJGIBBS0-130,0.1300,0.1700,0.0000,0.00
KXNFLRSHYDS-26SEP27NYJDET-DETJGIBBS0-120,0.1900,0.2200,0.0000,0.00
KXNFLRSHYDS-26SEP27NYJDET-NYJBHALL20-110,0.0600,0.1100,0.0000,0.00
KXNFLRSHYDS-26SEP27NYJDET-NYJBHALL20-80,0.2400,0.2700,0.0000,0.00
KXNFLRSHYDS-26SEP27NYJDET-NYJBHALL20-70,0.3400,0.3700,0.0000,0.00
KXNFLRSHYDS-26SEP27NYJDET-DETJGIBBS0-50,0.8000,0.8500,0.8500,5.81
KXNFLRSHYDS-26SEP27NYJDET-NYJBHALL20-120,0.0300,0.0700,0.0000,0.00
KXNFLRSHYDS-26SEP27NYJDET-DETJGIBBS0-110,0.2500,0.2900,0.0000,0.00
KXNFLRSHYDS-26SEP27NYJDET-DETJGIBBS0-90,0.4300,0.4500,0.4700,85.05
KXNFLRSHYDS-26SEP27NYJDET-DETJGIBBS0-60,0.7400,0.7600,0.7700,12.78
KXNFLRSHYDS-26SEP27NYJDET-DETJGIBBS0-140,0.0800,0.1300,0.0000,0.00
KXNFLRSHYDS-26SEP27NYJDET-DETJGIBBS0-80,0.5200,0.5700,0.5700,42.57
KXNFLRSHYDS-26SEP27NYJDET-NYJBHALL20-50,0.5800,0.6200,0.0000,0.00
KXNFLRSHYDS-26SEP27NYJDET-NYJBHALL20-30,0.8100,0.8700,0.0000,0.00
KXNFLRSHYDS-26SEP27NYJDET-DETJGIBBS0-70,0.6300,0.6700,0.0000,0.00
KXNFLRSHYDS-26SEP27NYJDET-DETJGIBBS0-100,0.3300,0.3600,0.3700,22.63
KXNFLRSHYDS-26SEP27NYJDET-DETJGIBBS0-160,0.0100,0.0700,0.0000,0.00
KXNFLRSHYDS-26SEP27NYJDET-NYJBHALL20-130,0.0100,0.0500,0.0000,0.00
