ticker,yes_bid,yes_ask,last_price,volume
KXNFLRSHYDS-26SEP27SEAWAS-WASMMARIOTA8-10,0.7600,0.7700,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-SEAEWILSON23-80,0.0400,0.0600,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-SEAEWILSON23-15,0.7100,0.7600,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-WASRWHITE1-20,0.4400,0.4700,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-WASRWHITE1-25,0.3400,0.3700,0.3700,2007.00
KXNFLRSHYDS-26SEP27SEAWAS-WASMMARIOTA8-15,0.6600,0.6800,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-WASMMARIOTA8-50,0.0800,0.1100,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-SEAEWILSON23-25,0.5400,0.5900,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-WASJCROSKEYMERRITT22-20,0.8000,0.8200,0.8300,6.00
KXNFLRSHYDS-26SEP27SEAWAS-SEAJPRICE8-110,0.0500,0.0600,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-SEAJPRICE8-120,0.0300,0.0500,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-WASMMARIOTA8-40,0.1600,0.2000,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-WASRWHITE1-60,0.0200,0.0500,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-WASMMARIOTA8-20,0.5400,0.5700,0.5300,413.38
KXNFLRSHYDS-26SEP27SEAWAS-WASRWHITE1-10,0.7000,0.7400,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-WASJCROSKEYMERRITT22-40,0.4700,0.4800,0.4700,2954.27
KXNFLRSHYDS-26SEP27SEAWAS-SEAEWILSON23-30,0.4600,0.5000,0.5100,0.18
KXNFLRSHYDS-26SEP27SEAWAS-SEAEWILSON23-70,0.0800,0.1100,0.1100,52.00
KXNFLRSHYDS-26SEP27SEAWAS-SEAJPRICE8-90,0.1200,0.1400,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-SEAJPRICE8-100,0.0700,0.0900,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-SEAJPRICE8-80,0.1800,0.2200,0.2100,4.00
KXNFLRSHYDS-26SEP27SEAWAS-WASMMARIOTA8-25,0.4200,0.4700,0.4400,6.00
KXNFLRSHYDS-26SEP27SEAWAS-WASRWHITE1-30,0.2500,0.2700,0.2600,173.00
KXNFLRSHYDS-26SEP27SEAWAS-WASJCROSKEYMERRITT22-25,0.7300,0.7400,0.7500,3.00
KXNFLRSHYDS-26SEP27SEAWAS-WASRWHITE1-50,0.0600,0.0800,0.0900,3780.00
KXNFLRSHYDS-26SEP27SEAWAS-WASRWHITE1-40,0.1300,0.1500,0.1500,767.00
KXNFLRSHYDS-26SEP27SEAWAS-SEAEWILSON23-10,0.8300,0.8600,0.8500,2000.00
KXNFLRSHYDS-26SEP27SEAWAS-SEAEWILSON23-50,0.2000,0.2300,0.2300,19.00
KXNFLRSHYDS-26SEP27SEAWAS-WASRWHITE1-15,0.6000,0.6200,0.6100,281.00
KXNFLRSHYDS-26SEP27SEAWAS-WASJCROSKEYMERRITT22-50,0.3300,0.3500,0.3200,16.80
KXNFLRSHYDS-26SEP27SEAWAS-SEAJPRICE8-70,0.2600,0.3000,0.3000,2000.00
KXNFLRSHYDS-26SEP27SEAWAS-SEAJPRICE8-50,0.5000,0.5300,0.5100,3986.72
KXNFLRSHYDS-26SEP27SEAWAS-WASMMARIOTA8-60,0.0300,0.0600,0.0500,4.00
KXNFLRSHYDS-26SEP27SEAWAS-SEAJPRICE8-30,0.7300,0.7700,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-SEAJPRICE8-25,0.7900,0.8300,0.8500,25.00
KXNFLRSHYDS-26SEP27SEAWAS-SEAEWILSON23-60,0.1300,0.1600,0.1600,43.00
KXNFLRSHYDS-26SEP27SEAWAS-WASJCROSKEYMERRITT22-100,0.0500,0.0600,0.0600,500.00
KXNFLRSHYDS-26SEP27SEAWAS-WASJCROSKEYMERRITT22-70,0.1300,0.1600,0.1600,31.00
KXNFLRSHYDS-26SEP27SEAWAS-WASJCROSKEYMERRITT22-90,0.0500,0.0700,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-SEAEWILSON23-40,0.3200,0.3400,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-WASMMARIOTA8-30,0.3200,0.3500,0.3900,12.38
KXNFLRSHYDS-26SEP27SEAWAS-SEAJPRICE8-60,0.3900,0.4100,0.4100,12.00
KXNFLRSHYDS-26SEP27SEAWAS-SEAEWILSON23-20,0.6300,0.6700,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-SEAJPRICE8-40,0.6100,0.6400,0.0000,0.00
KXNFLRSHYDS-26SEP27SEAWAS-WASJCROSKEYMERRITT22-30,0.6400,0.6700,0.6800,0.19
KXNFLRSHYDS-26SEP27SEAWAS-WASJCROSKEYMERRITT22-60,0.2200,0.2400,0.2300,37.00
KXNFLRSHYDS-26SEP27SEAWAS-WASJCROSKEYMERRITT22-80,0.0800,0.1100,0.0000,0.00
