ticker,yes_bid,yes_ask,last_price,volume
KXNFLRSHYDS-26SEP28PHICHI-PHIJHURTS1-25,0.4800,0.5000,0.5000,289.56
KXNFLRSHYDS-26SEP28PHICHI-CHIDSWIFT4-40,0.6800,0.7400,0.7400,24.12
KXNFLRSHYDS-26SEP28PHICHI-PHISBARKLEY26-80,0.3700,0.4200,0.4300,4.47
KXNFLRSHYDS-26SEP28PHICHI-PHISBARKLEY26-40,0.8000,0.8500,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-CHIDSWIFT4-140,0.0200,0.0600,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-PHISBARKLEY26-90,0.2700,0.3300,0.3300,71.40
KXNFLRSHYDS-26SEP28PHICHI-CHIKMONANGAI25-90,0.0200,0.0900,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-CHIDSWIFT4-120,0.0400,0.0900,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-PHISBARKLEY26-100,0.1900,0.2500,0.2000,11.00
KXNFLRSHYDS-26SEP28PHICHI-PHISBARKLEY26-70,0.4800,0.5300,0.4800,66.51
KXNFLRSHYDS-26SEP28PHICHI-PHISBARKLEY26-50,0.7000,0.7600,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-CHIDSWIFT4-110,0.0800,0.1200,0.1100,18.01
KXNFLRSHYDS-26SEP28PHICHI-PHIJHURTS1-40,0.2000,0.2400,0.2500,17.40
KXNFLRSHYDS-26SEP28PHICHI-CHIKMONANGAI25-80,0.0700,0.1200,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-PHIJHURTS1-60,0.0400,0.0900,0.0500,6.00
KXNFLRSHYDS-26SEP28PHICHI-CHIDSWIFT4-50,0.5600,0.6300,0.6500,8.00
KXNFLRSHYDS-26SEP28PHICHI-PHIJHURTS1-15,0.7100,0.7300,0.7200,1.00
KXNFLRSHYDS-26SEP28PHICHI-CHIKMONANGAI25-60,0.2500,0.2600,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-PHISBARKLEY26-60,0.5900,0.6600,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-PHIJHURTS1-30,0.3600,0.3900,0.3900,858.79
KXNFLRSHYDS-26SEP28PHICHI-PHISBARKLEY26-110,0.1400,0.1600,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-CHIDSWIFT4-70,0.3400,0.3600,0.3400,1027.26
KXNFLRSHYDS-26SEP28PHICHI-PHISBARKLEY26-130,0.0500,0.1000,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-CHIKMONANGAI25-100,0.0500,0.0600,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-PHISBARKLEY26-120,0.0700,0.1300,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-PHISBARKLEY26-150,0.0100,0.0600,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-PHIJHURTS1-70,0.0100,0.0600,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-CHIKMONANGAI25-25,0.7200,0.7500,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-CHIDSWIFT4-150,0.0100,0.0400,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-CHIDSWIFT4-100,0.1200,0.1600,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-CHIKMONANGAI25-70,0.1300,0.1800,0.1300,11.00
KXNFLRSHYDS-26SEP28PHICHI-CHIKMONANGAI25-40,0.4900,0.5300,0.5300,31.71
KXNFLRSHYDS-26SEP28PHICHI-CHIKMONANGAI25-20,0.7700,0.8100,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-CHIDSWIFT4-60,0.4700,0.4800,0.4700,1476.89
KXNFLRSHYDS-26SEP28PHICHI-PHISBARKLEY26-140,0.0200,0.0800,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-CHIKMONANGAI25-30,0.6400,0.6800,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-CHIKMONANGAI25-50,0.3500,0.3800,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-CHIDSWIFT4-80,0.2500,0.2800,0.3600,6.31
KXNFLRSHYDS-26SEP28PHICHI-CHIDSWIFT4-130,0.0100,0.0700,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-PHIJHURTS1-20,0.5900,0.6200,0.5600,61.54
KXNFLRSHYDS-26SEP28PHICHI-CHIDSWIFT4-90,0.1700,0.2100,0.0000,0.00
KXNFLRSHYDS-26SEP28PHICHI-PHIJHURTS1-10,0.8200,0.8400,0.8500,17.04
KXNFLRSHYDS-26SEP28PHICHI-PHIJHURTS1-50,0.0900,0.1400,0.1500,29.87
