ticker,yes_bid,yes_ask,last_price,volume
KXNFLSPREAD-26OCT01PITCLE-CLE4,0.2900,0.3500,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-CLE15,0.0700,0.1200,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-PIT11,0.2000,0.2500,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-PIT17,0.0900,0.1400,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-CLE5,0.2600,0.3200,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-PIT10,0.2300,0.2800,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-CLE7,0.2100,0.2700,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-PIT18,0.0800,0.1200,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-PIT3,0.4900,0.5100,0.5000,2182.30
KXNFLSPREAD-26OCT01PITCLE-CLE11,0.1200,0.2000,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-PIT6,0.3400,0.3900,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-CLE6,0.2500,0.3100,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-CLE3,0.3600,0.4300,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-PIT5,0.3700,0.4100,0.4800,0.10
KXNFLSPREAD-26OCT01PITCLE-CLE10,0.1500,0.2100,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-CLE2,0.3900,0.4300,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-PIT2,0.4900,0.5500,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-CLE8,0.1800,0.2400,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-CLE14,0.0900,0.1400,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-PIT4,0.4100,0.4600,0.4500,10.00
KXNFLSPREAD-26OCT01PITCLE-PIT7,0.3000,0.3600,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-PIT21,0.0500,0.0900,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-PIT15,0.1200,0.1700,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-PIT14,0.1400,0.1800,0.0000,0.00
KXNFLSPREAD-26OCT01PITCLE-PIT8,0.2600,0.3300,0.0000,0.00
