ticker,yes_bid,yes_ask,last_price,volume
KXNFLSPREAD-26SEP27ARISF-ARI15,0.0300,0.0400,0.0300,42.19
KXNFLSPREAD-26SEP27ARISF-ARI8,0.0500,0.0600,0.0600,3565.63
KXNFLSPREAD-26SEP27ARISF-ARI5,0.1000,0.1200,0.1100,2030.00
KXNFLSPREAD-26SEP27ARISF-ARI10,0.0400,0.0500,0.0400,6893.38
KXNFLSPREAD-26SEP27ARISF-SF7,0.5800,0.5900,0.5900,13493.95
KXNFLSPREAD-26SEP27ARISF-SF8,0.5200,0.5300,0.5300,597.98
KXNFLSPREAD-26SEP27ARISF-SF9,0.4900,0.5000,0.5000,42180.23
KXNFLSPREAD-26SEP27ARISF-ARI11,0.0300,0.0400,0.0300,5219.22
KXNFLSPREAD-26SEP27ARISF-ARI3,0.1700,0.1800,0.1600,1492.00
KXNFLSPREAD-26SEP27ARISF-SF28,0.0800,0.0900,0.0900,654.18
KXNFLSPREAD-26SEP27ARISF-SF17,0.2900,0.3100,0.3000,210.95
KXNFLSPREAD-26SEP27ARISF-ARI4,0.1200,0.1300,0.1200,3054.25
KXNFLSPREAD-26SEP27ARISF-SF18,0.2600,0.2800,0.2600,237.44
KXNFLSPREAD-26SEP27ARISF-ARI7,0.0800,0.0900,0.0800,3594.00
KXNFLSPREAD-26SEP27ARISF-ARI2,0.1900,0.2000,0.1800,1327.00
KXNFLSPREAD-26SEP27ARISF-SF4,0.6700,0.6800,0.6700,1083.04
KXNFLSPREAD-26SEP27ARISF-ARI14,0.0300,0.0400,0.0300,13.00
KXNFLSPREAD-26SEP27ARISF-SF14,0.3900,0.4000,0.4000,4125.97
KXNFLSPREAD-26SEP27ARISF-SF10,0.4800,0.4900,0.4900,5992.34
KXNFLSPREAD-26SEP27ARISF-SF3,0.7500,0.7600,0.7600,779.33
KXNFLSPREAD-26SEP27ARISF-SF5,0.6500,0.6600,0.6700,14.58
KXNFLSPREAD-26SEP27ARISF-SF21,0.2000,0.2100,0.2100,743.83
KXNFLSPREAD-26SEP27ARISF-SF24,0.1300,0.1500,0.1400,453.99
KXNFLSPREAD-26SEP27ARISF-ARI6,0.1000,0.1100,0.1000,4332.00
KXNFLSPREAD-26SEP27ARISF-SF15,0.3100,0.3200,0.3200,1079.16
KXNFLSPREAD-26SEP27ARISF-SF6,0.6300,0.6400,0.6200,769.93
KXNFLSPREAD-26SEP27ARISF-SF2,0.7700,0.7800,0.7900,6.23
KXNFLSPREAD-26SEP27ARISF-SF11,0.4300,0.4400,0.4400,1985.55
