ticker,yes_bid,yes_ask,last_price,volume
KXNFLSPREAD-26SEP27BALDAL-DAL11,0.1000,0.1100,0.1200,172.13
KXNFLSPREAD-26SEP27BALDAL-BAL10,0.2900,0.3000,0.3000,633.16
KXNFLSPREAD-26SEP27BALDAL-BAL11,0.2600,0.2700,0.2700,921.50
KXNFLSPREAD-26SEP27BALDAL-DAL8,0.1500,0.1700,0.1700,126.20
KXNFLSPREAD-26SEP27BALDAL-BAL17,0.1500,0.1600,0.1500,68.27
KXNFLSPREAD-26SEP27BALDAL-DAL3,0.3300,0.3400,0.3400,942.25
KXNFLSPREAD-26SEP27BALDAL-BAL14,0.2100,0.2200,0.2200,113.38
KXNFLSPREAD-26SEP27BALDAL-DAL7,0.1900,0.2100,0.2100,881.23
KXNFLSPREAD-26SEP27BALDAL-DAL15,0.0600,0.0800,0.0700,455.17
KXNFLSPREAD-26SEP27BALDAL-DAL5,0.2300,0.2500,0.2500,1851.59
KXNFLSPREAD-26SEP27BALDAL-DAL2,0.3500,0.3700,0.3700,428.87
KXNFLSPREAD-26SEP27BALDAL-BAL7,0.3800,0.4000,0.4000,1383.69
KXNFLSPREAD-26SEP27BALDAL-BAL15,0.1800,0.1900,0.1900,147.11
KXNFLSPREAD-26SEP27BALDAL-BAL6,0.4200,0.4300,0.4300,2006.67
KXNFLSPREAD-26SEP27BALDAL-BAL21,0.0900,0.1000,0.1000,157.48
KXNFLSPREAD-26SEP27BALDAL-BAL2,0.5900,0.6000,0.6100,348.47
KXNFLSPREAD-26SEP27BALDAL-BAL4,0.4800,0.4900,0.4900,41062.59
KXNFLSPREAD-26SEP27BALDAL-BAL18,0.1200,0.1400,0.1200,16.35
KXNFLSPREAD-26SEP27BALDAL-BAL3,0.5800,0.5900,0.5900,26823.47
KXNFLSPREAD-26SEP27BALDAL-BAL5,0.4500,0.4600,0.4500,13507.09
KXNFLSPREAD-26SEP27BALDAL-BAL8,0.3200,0.3400,0.3300,546.01
KXNFLSPREAD-26SEP27BALDAL-DAL6,0.2100,0.2300,0.2300,41.25
KXNFLSPREAD-26SEP27BALDAL-DAL14,0.0800,0.0900,0.0900,522.28
KXNFLSPREAD-26SEP27BALDAL-DAL10,0.1300,0.1400,0.1500,957.86
KXNFLSPREAD-26SEP27BALDAL-DAL4,0.2500,0.2600,0.2600,351.66
