ticker,yes_bid,yes_ask,last_price,volume
KXNFLSPREAD-26SEP27CINPIT-PIT3,0.3300,0.3500,0.3500,1958.15
KXNFLSPREAD-26SEP27CINPIT-PIT11,0.1100,0.1300,0.0000,0.00
KXNFLSPREAD-26SEP27CINPIT-CIN8,0.3300,0.3500,0.3500,1237.18
KXNFLSPREAD-26SEP27CINPIT-CIN21,0.0900,0.1000,0.1000,541.36
KXNFLSPREAD-26SEP27CINPIT-PIT15,0.0700,0.0800,0.0700,1183.35
KXNFLSPREAD-26SEP27CINPIT-PIT10,0.1300,0.1500,0.0000,0.00
KXNFLSPREAD-26SEP27CINPIT-CIN11,0.2700,0.2800,0.2800,81.09
KXNFLSPREAD-26SEP27CINPIT-PIT2,0.3500,0.3600,0.3600,16.02
KXNFLSPREAD-26SEP27CINPIT-PIT5,0.2400,0.2600,0.2400,67.81
KXNFLSPREAD-26SEP27CINPIT-PIT8,0.1500,0.1800,0.0000,0.00
KXNFLSPREAD-26SEP27CINPIT-PIT14,0.0800,0.0900,0.0000,0.00
KXNFLSPREAD-26SEP27CINPIT-CIN2,0.5800,0.5900,0.5800,1837.35
KXNFLSPREAD-26SEP27CINPIT-CIN15,0.1800,0.1900,0.1900,127.67
KXNFLSPREAD-26SEP27CINPIT-CIN5,0.4300,0.4400,0.4300,3781.65
KXNFLSPREAD-26SEP27CINPIT-PIT6,0.2100,0.2400,0.0000,0.00
KXNFLSPREAD-26SEP27CINPIT-CIN7,0.3900,0.4000,0.3900,7505.43
KXNFLSPREAD-26SEP27CINPIT-CIN18,0.1300,0.1400,0.0000,0.00
KXNFLSPREAD-26SEP27CINPIT-PIT4,0.2700,0.2800,0.2700,282.70
KXNFLSPREAD-26SEP27CINPIT-CIN17,0.1500,0.1600,0.1700,27.79
KXNFLSPREAD-26SEP27CINPIT-CIN3,0.5600,0.5700,0.5700,11373.76
KXNFLSPREAD-26SEP27CINPIT-CIN14,0.2100,0.2200,0.2200,2222.95
KXNFLSPREAD-26SEP27CINPIT-PIT7,0.2000,0.2100,0.2100,255.68
KXNFLSPREAD-26SEP27CINPIT-CIN6,0.4100,0.4200,0.4300,2662.66
KXNFLSPREAD-26SEP27CINPIT-CIN4,0.4700,0.4800,0.4800,165960.23
KXNFLSPREAD-26SEP27CINPIT-CIN10,0.2900,0.3000,0.3000,1663.51
