ticker,yes_bid,yes_ask,last_price,volume
KXNFLSPREAD-26SEP27LACBUF-BUF11,0.3800,0.3900,0.3900,2415.32
KXNFLSPREAD-26SEP27LACBUF-BUF21,0.1800,0.1900,0.1900,1104.31
KXNFLSPREAD-26SEP27LACBUF-LAC10,0.0700,0.0800,0.0700,2463.91
KXNFLSPREAD-26SEP27LACBUF-BUF24,0.1100,0.1300,0.1400,333.23
KXNFLSPREAD-26SEP27LACBUF-LAC7,0.1100,0.1200,0.1200,1651.93
KXNFLSPREAD-26SEP27LACBUF-BUF15,0.2700,0.2800,0.2800,1589.70
KXNFLSPREAD-26SEP27LACBUF-BUF10,0.4300,0.4400,0.4400,7538.25
KXNFLSPREAD-26SEP27LACBUF-BUF5,0.6000,0.6100,0.6000,1390.14
KXNFLSPREAD-26SEP27LACBUF-LAC5,0.1300,0.1600,0.0000,0.00
KXNFLSPREAD-26SEP27LACBUF-BUF8,0.4700,0.4800,0.4800,97772.04
KXNFLSPREAD-26SEP27LACBUF-LAC8,0.0900,0.1000,0.0900,1158.28
KXNFLSPREAD-26SEP27LACBUF-BUF28,0.0700,0.0800,0.0700,2867.35
KXNFLSPREAD-26SEP27LACBUF-BUF2,0.7200,0.7400,0.7400,260.38
KXNFLSPREAD-26SEP27LACBUF-BUF14,0.3300,0.3400,0.3500,7448.29
KXNFLSPREAD-26SEP27LACBUF-BUF17,0.2500,0.2700,0.2700,353.28
KXNFLSPREAD-26SEP27LACBUF-LAC2,0.2200,0.2300,0.2200,116.16
KXNFLSPREAD-26SEP27LACBUF-LAC3,0.2000,0.2200,0.2000,1420.27
KXNFLSPREAD-26SEP27LACBUF-BUF3,0.7100,0.7200,0.7200,1191.51
KXNFLSPREAD-26SEP27LACBUF-BUF7,0.5500,0.5600,0.5600,45227.81
KXNFLSPREAD-26SEP27LACBUF-LAC14,0.0300,0.0400,0.0400,1173.33
KXNFLSPREAD-26SEP27LACBUF-BUF6,0.5800,0.5900,0.5900,3607.06
KXNFLSPREAD-26SEP27LACBUF-BUF18,0.2200,0.2400,0.2200,479.29
KXNFLSPREAD-26SEP27LACBUF-BUF4,0.6300,0.6400,0.6400,2679.34
KXNFLSPREAD-26SEP27LACBUF-LAC4,0.1600,0.1700,0.1700,1547.62
KXNFLSPREAD-26SEP27LACBUF-LAC11,0.0600,0.0700,0.0800,2023.93
KXNFLSPREAD-26SEP27LACBUF-LAC15,0.0300,0.0400,0.0300,815.35
KXNFLSPREAD-26SEP27LACBUF-LAC6,0.1300,0.1400,0.1500,2256.86
