ticker,yes_bid,yes_ask,last_price,volume
KXNFLSPREAD-26SEP27NYJDET-DET3,0.6800,0.6900,0.6900,80.83
KXNFLSPREAD-26SEP27NYJDET-NYJ10,0.0700,0.0800,0.0800,63.00
KXNFLSPREAD-26SEP27NYJDET-NYJ7,0.1100,0.1300,0.1200,1492.01
KXNFLSPREAD-26SEP27NYJDET-NYJ6,0.1400,0.1500,0.1400,1430.68
KXNFLSPREAD-26SEP27NYJDET-DET18,0.2000,0.2100,0.0000,0.00
KXNFLSPREAD-26SEP27NYJDET-NYJ14,0.0400,0.0500,0.0500,1513.04
KXNFLSPREAD-26SEP27NYJDET-NYJ3,0.2100,0.2300,0.2400,540.84
KXNFLSPREAD-26SEP27NYJDET-NYJ2,0.2200,0.2500,0.0000,0.00
KXNFLSPREAD-26SEP27NYJDET-NYJ11,0.0400,0.0700,0.0300,8.00
KXNFLSPREAD-26SEP27NYJDET-DET7,0.5100,0.5200,0.5200,41579.50
KXNFLSPREAD-26SEP27NYJDET-DET15,0.2400,0.2500,0.2500,595.40
KXNFLSPREAD-26SEP27NYJDET-NYJ4,0.1700,0.1800,0.1800,26.26
KXNFLSPREAD-26SEP27NYJDET-DET21,0.1300,0.1500,0.1500,4.00
KXNFLSPREAD-26SEP27NYJDET-DET4,0.5900,0.6000,0.6000,324.26
KXNFLSPREAD-26SEP27NYJDET-DET2,0.7000,0.7200,0.7200,196.80
KXNFLSPREAD-26SEP27NYJDET-DET11,0.3600,0.3800,0.3800,79.47
KXNFLSPREAD-26SEP27NYJDET-DET6,0.5400,0.5500,0.5500,468.31
KXNFLSPREAD-26SEP27NYJDET-DET24,0.0900,0.1100,0.0900,440.81
KXNFLSPREAD-26SEP27NYJDET-NYJ15,0.0300,0.0400,0.0500,1869.91
KXNFLSPREAD-26SEP27NYJDET-DET8,0.4200,0.4300,0.4200,2934.12
KXNFLSPREAD-26SEP27NYJDET-DET14,0.3000,0.3200,0.3200,137.51
KXNFLSPREAD-26SEP27NYJDET-DET10,0.4000,0.4100,0.4000,188.90
KXNFLSPREAD-26SEP27NYJDET-NYJ5,0.1400,0.1600,0.0000,0.00
KXNFLSPREAD-26SEP27NYJDET-DET28,0.0400,0.0600,0.0500,1482.10
KXNFLSPREAD-26SEP27NYJDET-DET5,0.5600,0.5700,0.5700,196.91
KXNFLSPREAD-26SEP27NYJDET-NYJ8,0.0700,0.1000,0.0000,0.00
KXNFLSPREAD-26SEP27NYJDET-DET17,0.2200,0.2400,0.0000,0.00
