ticker,yes_bid,yes_ask,last_price,volume
KXNFLSPREAD-26SEP27TENNYG-TEN3,0.3900,0.4000,0.4100,4554.15
KXNFLSPREAD-26SEP27TENNYG-TEN15,0.0900,0.1100,0.0800,1310.87
KXNFLSPREAD-26SEP27TENNYG-NYG4,0.4000,0.4100,0.4000,25105.55
KXNFLSPREAD-26SEP27TENNYG-NYG5,0.3800,0.3900,0.3800,4538.82
KXNFLSPREAD-26SEP27TENNYG-NYG3,0.4900,0.5000,0.5000,26355.34
KXNFLSPREAD-26SEP27TENNYG-NYG24,0.0500,0.0600,0.0600,1270.62
KXNFLSPREAD-26SEP27TENNYG-NYG11,0.2000,0.2300,0.2200,635.33
KXNFLSPREAD-26SEP27TENNYG-TEN8,0.2000,0.2100,0.2000,1022.29
KXNFLSPREAD-26SEP27TENNYG-NYG10,0.2300,0.2500,0.2400,272.78
KXNFLSPREAD-26SEP27TENNYG-TEN2,0.4100,0.4200,0.4300,1744.88
KXNFLSPREAD-26SEP27TENNYG-NYG14,0.1700,0.1900,0.1800,71.26
KXNFLSPREAD-26SEP27TENNYG-NYG18,0.0900,0.1200,0.0000,0.00
KXNFLSPREAD-26SEP27TENNYG-TEN14,0.1000,0.1200,0.1200,1629.68
KXNFLSPREAD-26SEP27TENNYG-NYG17,0.1100,0.1300,0.1400,95.54
KXNFLSPREAD-26SEP27TENNYG-NYG15,0.1400,0.1600,0.1600,833.97
KXNFLSPREAD-26SEP27TENNYG-TEN11,0.1400,0.1600,0.0000,0.00
KXNFLSPREAD-26SEP27TENNYG-TEN5,0.2900,0.3100,0.3100,1906.01
KXNFLSPREAD-26SEP27TENNYG-NYG7,0.3500,0.3600,0.3600,12916.66
KXNFLSPREAD-26SEP27TENNYG-TEN7,0.2500,0.2600,0.2600,3333.08
KXNFLSPREAD-26SEP27TENNYG-NYG6,0.3600,0.3700,0.3700,8661.73
KXNFLSPREAD-26SEP27TENNYG-TEN6,0.2800,0.3000,0.3000,2166.74
KXNFLSPREAD-26SEP27TENNYG-TEN10,0.1800,0.1900,0.1900,3652.45
KXNFLSPREAD-26SEP27TENNYG-TEN4,0.3100,0.3200,0.3200,2047.00
KXNFLSPREAD-26SEP27TENNYG-NYG21,0.0700,0.0800,0.0800,2177.71
KXNFLSPREAD-26SEP27TENNYG-NYG2,0.5200,0.5400,0.5400,1616.06
KXNFLSPREAD-26SEP27TENNYG-NYG28,0.0300,0.0400,0.0400,344.61
KXNFLSPREAD-26SEP27TENNYG-NYG8,0.2700,0.2800,0.2800,3415.20
