ticker,yes_bid,yes_ask,last_price,volume
KXNFLSPREAD-26SEP28PHICHI-CHI3,0.2900,0.3000,0.2900,1442.10
KXNFLSPREAD-26SEP28PHICHI-CHI14,0.0600,0.0700,0.0700,286.00
KXNFLSPREAD-26SEP28PHICHI-PHI14,0.2500,0.2600,0.2400,498.92
KXNFLSPREAD-26SEP28PHICHI-CHI11,0.0600,0.1000,0.0000,0.00
KXNFLSPREAD-26SEP28PHICHI-CHI8,0.1000,0.1400,0.0000,0.00
KXNFLSPREAD-26SEP28PHICHI-CHI15,0.0500,0.0600,0.0500,2187.19
KXNFLSPREAD-26SEP28PHICHI-PHI17,0.1800,0.2000,0.2300,51.64
KXNFLSPREAD-26SEP28PHICHI-PHI18,0.1500,0.1600,0.1800,97.66
KXNFLSPREAD-26SEP28PHICHI-PHI5,0.5100,0.5200,0.5200,32469.34
KXNFLSPREAD-26SEP28PHICHI-PHI21,0.1100,0.1200,0.1200,121.77
KXNFLSPREAD-26SEP28PHICHI-PHI4,0.5300,0.5400,0.5400,169074.03
KXNFLSPREAD-26SEP28PHICHI-CHI10,0.1000,0.1100,0.1800,3.00
KXNFLSPREAD-26SEP28PHICHI-CHI4,0.2300,0.2400,0.2300,863.44
KXNFLSPREAD-26SEP28PHICHI-PHI11,0.2900,0.3100,0.3000,342.31
KXNFLSPREAD-26SEP28PHICHI-PHI8,0.3700,0.3900,0.3800,158.00
KXNFLSPREAD-26SEP28PHICHI-PHI6,0.4800,0.4900,0.4800,4052.75
KXNFLSPREAD-26SEP28PHICHI-PHI10,0.3300,0.3600,0.3600,2259.31
KXNFLSPREAD-26SEP28PHICHI-CHI7,0.1400,0.1700,0.1700,27.79
KXNFLSPREAD-26SEP28PHICHI-PHI7,0.4400,0.4500,0.4600,5493.14
KXNFLSPREAD-26SEP28PHICHI-CHI2,0.2900,0.3000,0.0000,0.00
KXNFLSPREAD-26SEP28PHICHI-PHI3,0.6300,0.6400,0.6400,21033.94
KXNFLSPREAD-26SEP28PHICHI-CHI5,0.1800,0.2000,0.2100,7.51
KXNFLSPREAD-26SEP28PHICHI-PHI2,0.6400,0.6500,0.6400,15611.16
KXNFLSPREAD-26SEP28PHICHI-PHI15,0.2100,0.2300,0.2300,299.69
KXNFLSPREAD-26SEP28PHICHI-CHI6,0.1800,0.2000,0.2000,47.34
