ticker,yes_bid,yes_ask,last_price,volume
KXNFLTD-26SEP27HOUIND-INDLTREADWELL13-1,0.0500,0.1100,0.0000,0.00
KXNFLTD-26SEP27HOUIND-HOUHOUDST-1,0.0100,0.1200,0.1300,34.00
KXNFLTD-26SEP27HOUIND-INDMALIECOX81-1,0.0500,0.0700,0.0000,0.00
KXNFLTD-26SEP27HOUIND-INDJTAYLOR28-1,0.5600,0.5900,0.5800,4062.21
KXNFLTD-26SEP27HOUIND-HOUKBOUTTE14-2,0.0300,0.0400,0.0000,0.00
KXNFLTD-26SEP27HOUIND-HOUDSCHULTZ86-2,0.0100,0.0600,0.0000,0.00
KXNFLTD-26SEP27HOUIND-INDKALLEN10-1,0.1400,0.2100,0.1400,0.01
KXNFLTD-26SEP27HOUIND-INDDJONES17-1,0.0500,0.1200,0.0700,54.24
KXNFLTD-26SEP27HOUIND-HOUWMARKS4-3,0.0100,0.0200,0.0100,299.79
KXNFLTD-26SEP27HOUIND-INDKALLEN10-2,0.0100,0.0300,0.0000,0.00
KXNFLTD-26SEP27HOUIND-HOUDMONTGOMERY32-3,0.0100,0.0400,0.0000,0.00
KXNFLTD-26SEP27HOUIND-HOUXHUTCHINSON19-2,0.0300,0.0400,0.0000,0.00
KXNFLTD-26SEP27HOUIND-HOUWMARKS4-2,0.0100,0.0500,0.0000,0.00
KXNFLTD-26SEP27HOUIND-INDTWARREN84-2,0.0300,0.0500,0.0000,0.00
KXNFLTD-26SEP27HOUIND-HOUWMARKS4-1,0.2400,0.2700,0.2700,66.83
KXNFLTD-26SEP27HOUIND-HOUDSCHULTZ86-1,0.2800,0.3000,0.3000,650.62
KXNFLTD-26SEP27HOUIND-HOUFMOREAU87-1,0.0200,0.0900,0.0000,0.00
KXNFLTD-26SEP27HOUIND-HOUDMONTGOMERY32-1,0.4800,0.4900,0.4900,792.41
KXNFLTD-26SEP27HOUIND-HOUJNOEL13-2,0.0100,0.0300,0.0000,0.00
KXNFLTD-26SEP27HOUIND-HOUDMONTGOMERY32-2,0.0800,0.1400,0.0000,0.00
KXNFLTD-26SEP27HOUIND-HOUJNOEL13-1,0.1300,0.1800,0.1800,10.50
KXNFLTD-26SEP27HOUIND-INDJTAYLOR28-2,0.1600,0.1900,0.1800,234.95
KXNFLTD-26SEP27HOUIND-INDTWARREN84-1,0.2500,0.2700,0.2700,741.97
KXNFLTD-26SEP27HOUIND-INDSMCGOWAN20-1,0.0300,0.0800,0.0000,0.00
KXNFLTD-26SEP27HOUIND-INDLTREADWELL13-2,0.0000,0.0200,0.0100,550.00
KXNFLTD-26SEP27HOUIND-INDJDOWNS2-2,0.0100,0.0400,0.0000,0.00
KXNFLTD-26SEP27HOUIND-HOUXHUTCHINSON19-1,0.1700,0.2300,0.0000,0.00
KXNFLTD-26SEP27HOUIND-HOUDSCHULTZ86-3,0.0100,0.0200,0.0100,201.00
KXNFLTD-26SEP27HOUIND-HOUKBOUTTE14-1,0.1900,0.2600,0.1100,1.01
KXNFLTD-26SEP27HOUIND-HOUCSTROUD7-1,0.0100,0.0900,0.0500,1.01
KXNFLTD-26SEP27HOUIND-INDJDOWNS2-1,0.2200,0.2500,0.2300,643.92
KXNFLTD-26SEP27HOUIND-INDSMCGOWAN20-2,0.0000,0.0200,0.0100,450.79
KXNFLTD-26SEP27HOUIND-INDDJONES17-2,0.0100,0.0200,0.0000,0.00
KXNFLTD-26SEP27HOUIND-INDINDDST-1,0.0500,0.1300,0.0000,0.00
