ticker,yes_bid,yes_ask,last_price,volume
KXNFLTEAMPTS-LEAST27-SEA,0.0000,0.8500,0.0000,0.00
KXNFLTEAMPTS-LEAST27-DET,0.0000,0.8500,0.0000,0.00
KXNFLTEAMPTS-LEAST27-MIN,0.0000,0.8000,0.0100,252.18
KXNFLTEAMPTS-LEAST27-NO,0.0000,0.5000,0.0100,111.62
KXNFLTEAMPTS-LEAST27-DAL,0.0000,0.8500,0.0000,0.00
KXNFLTEAMPTS-LEAST27-NE,0.0000,0.8500,0.0000,0.00
KXNFLTEAMPTS-LEAST27-LAR,0.0000,0.8500,0.0000,0.00
KXNFLTEAMPTS-LEAST27-CAR,0.0000,0.1000,0.0100,9.00
KXNFLTEAMPTS-LEAST27-WAS,0.0000,0.8500,0.0100,209.00
KXNFLTEAMPTS-LEAST27-NYJ,0.0600,0.8400,0.2100,341.60
KXNFLTEAMPTS-LEAST27-SF,0.0000,0.8500,0.0000,0.00
KXNFLTEAMPTS-LEAST27-MIA,0.3200,0.4800,0.3000,361.94
KXNFLTEAMPTS-LEAST27-LAC,0.0000,0.8500,0.0000,0.00
KXNFLTEAMPTS-LEAST27-BAL,0.0000,0.8500,0.0000,0.00
KXNFLTEAMPTS-LEAST27-BUF,0.0000,0.8500,0.0000,0.00
KXNFLTEAMPTS-LEAST27-PHI,0.0000,0.8500,0.0000,0.00
KXNFLTEAMPTS-LEAST27-DEN,0.0000,0.8500,0.0000,0.00
KXNFLTEAMPTS-LEAST27-KC,0.0000,0.8000,0.0000,0.00
KXNFLTEAMPTS-LEAST27-TB,0.0000,0.8500,0.0000,0.00
KXNFLTEAMPTS-LEAST27-GB,0.0000,0.8500,0.0000,0.00
KXNFLTEAMPTS-LEAST27-JAC,0.0000,0.8500,0.0000,0.00
KXNFLTEAMPTS-LEAST27-CIN,0.0000,0.8500,0.0000,0.00
KXNFLTEAMPTS-LEAST27-IND,0.0000,0.8500,0.0000,0.00
KXNFLTEAMPTS-LEAST27-NYG,0.0500,0.8400,0.0100,100.51
KXNFLTEAMPTS-LEAST27-PIT,0.0200,0.2000,0.0200,508.37
KXNFLTEAMPTS-LEAST27-CLE,0.2700,0.4700,0.3600,387.87
KXNFLTEAMPTS-LEAST27-ARI,0.1100,0.3300,0.0200,505.26
KXNFLTEAMPTS-LEAST27-TEN,0.0300,0.2000,0.0200,12.29
KXNFLTEAMPTS-LEAST27-LV,0.0100,0.1000,0.0100,11.00
KXNFLTEAMPTS-LEAST27-HOU,0.0100,0.1500,0.0100,151.80
KXNFLTEAMPTS-LEAST27-ATL,0.0700,0.2000,0.0400,531.07
KXNFLTEAMPTS-LEAST27-CHI,0.0000,0.1000,0.0000,0.00
