ticker,yes_bid,yes_ask,last_price,volume
KXNFLTOTAL-26OCT01PITCLE-41,0.4100,0.4500,0.0000,0.00
KXNFLTOTAL-26OCT01PITCLE-39,0.4700,0.4800,0.4500,768.03
KXNFLTOTAL-26OCT01PITCLE-38,0.4800,0.4900,0.4800,309.36
KXNFLTOTAL-26OCT01PITCLE-18,0.9300,0.9700,0.9600,294.58
KXNFLTOTAL-26OCT01PITCLE-30,0.7000,0.7800,0.7200,37.00
KXNFLTOTAL-26OCT01PITCLE-21,0.9200,0.9600,0.9400,109.00
KXNFLTOTAL-26OCT01PITCLE-33,0.6300,0.7000,0.6400,3.28
KXNFLTOTAL-26OCT01PITCLE-40,0.4200,0.4600,0.0000,0.00
KXNFLTOTAL-26OCT01PITCLE-54,0.1100,0.1900,0.0000,0.00
KXNFLTOTAL-26OCT01PITCLE-42,0.3600,0.4200,0.0000,0.00
KXNFLTOTAL-26OCT01PITCLE-57,0.0800,0.1600,0.0000,0.00
KXNFLTOTAL-26OCT01PITCLE-60,0.0500,0.1300,0.0000,0.00
KXNFLTOTAL-26OCT01PITCLE-45,0.2800,0.3400,0.2900,4.00
KXNFLTOTAL-26OCT01PITCLE-24,0.8300,0.9000,0.8500,118.00
KXNFLTOTAL-26OCT01PITCLE-51,0.1600,0.2200,0.0000,0.00
KXNFLTOTAL-26OCT01PITCLE-36,0.5400,0.6200,0.5600,20.00
KXNFLTOTAL-26OCT01PITCLE-37,0.5100,0.5900,0.5300,4.08
KXNFLTOTAL-26OCT01PITCLE-27,0.8100,0.8500,0.0000,0.00
KXNFLTOTAL-26OCT01PITCLE-48,0.2100,0.2800,0.0000,0.00
