ticker,yes_bid,yes_ask,last_price,volume
KXNFLTOTAL-26SEP24ATLGB-62,0.0800,0.0900,0.0800,13774.73
KXNFLTOTAL-26SEP24ATLGB-48,0.3500,0.3600,0.3500,1544.82
KXNFLTOTAL-26SEP24ATLGB-68,0.0400,0.0500,0.0400,1745.65
KXNFLTOTAL-26SEP24ATLGB-56,0.1700,0.1800,0.1800,2273.15
KXNFLTOTAL-26SEP24ATLGB-53,0.2300,0.2400,0.2300,1181.36
KXNFLTOTAL-26SEP24ATLGB-65,0.0500,0.0600,0.0600,18091.94
KXNFLTOTAL-26SEP24ATLGB-50,0.3000,0.3200,0.3000,1226.63
KXNFLTOTAL-26SEP24ATLGB-47,0.3800,0.3900,0.3800,3286.10
KXNFLTOTAL-26SEP24ATLGB-49,0.3100,0.3300,0.3100,2101.92
KXNFLTOTAL-26SEP24ATLGB-35,0.7400,0.7500,0.7500,2009.82
KXNFLTOTAL-26SEP24ATLGB-45,0.4300,0.4400,0.4300,507218.28
KXNFLTOTAL-26SEP24ATLGB-44,0.4600,0.4700,0.4600,158076.26
KXNFLTOTAL-26SEP24ATLGB-29,0.8800,0.8900,0.8900,1616.67
KXNFLTOTAL-26SEP24ATLGB-32,0.8200,0.8300,0.8200,3951.80
KXNFLTOTAL-26SEP24ATLGB-46,0.4000,0.4100,0.4000,13192.23
KXNFLTOTAL-26SEP24ATLGB-26,0.9300,0.9400,0.9300,2825.46
KXNFLTOTAL-26SEP24ATLGB-59,0.1200,0.1300,0.1200,1333.80
KXNFLTOTAL-26SEP24ATLGB-41,0.5700,0.5800,0.5800,9097.95
KXNFLTOTAL-26SEP24ATLGB-38,0.6600,0.6700,0.6700,7053.01
