ticker,yes_bid,yes_ask,last_price,volume
KXNFLTOTAL-26SEP27CINPIT-41,0.5600,0.5700,0.5700,56.03
KXNFLTOTAL-26SEP27CINPIT-46,0.3900,0.4000,0.3800,740.23
KXNFLTOTAL-26SEP27CINPIT-50,0.2900,0.3100,0.2900,731.37
KXNFLTOTAL-26SEP27CINPIT-42,0.5200,0.5400,0.5200,19.98
KXNFLTOTAL-26SEP27CINPIT-45,0.4100,0.4300,0.4100,16.47
KXNFLTOTAL-26SEP27CINPIT-47,0.3700,0.3800,0.3700,69.96
KXNFLTOTAL-26SEP27CINPIT-32,0.8200,0.8400,0.8200,27.78
KXNFLTOTAL-26SEP27CINPIT-35,0.7300,0.7400,0.7500,11.17
KXNFLTOTAL-26SEP27CINPIT-43,0.5100,0.5200,0.5100,105151.18
KXNFLTOTAL-26SEP27CINPIT-53,0.2100,0.2400,0.0000,0.00
KXNFLTOTAL-26SEP27CINPIT-56,0.1500,0.1800,0.0000,0.00
KXNFLTOTAL-26SEP27CINPIT-59,0.1100,0.1300,0.1000,4325.54
KXNFLTOTAL-26SEP27CINPIT-38,0.6400,0.6600,0.0000,0.00
KXNFLTOTAL-26SEP27CINPIT-29,0.8700,0.8900,0.8800,65.00
KXNFLTOTAL-26SEP27CINPIT-65,0.0500,0.0600,0.0600,15585.22
KXNFLTOTAL-26SEP27CINPIT-62,0.0800,0.0900,0.0800,13465.24
KXNFLTOTAL-26SEP27CINPIT-23,0.9600,0.9700,0.9700,577.23
KXNFLTOTAL-26SEP27CINPIT-26,0.9300,0.9400,0.9200,144.30
KXNFLTOTAL-26SEP27CINPIT-44,0.4400,0.4500,0.4400,4925.35
