ticker,yes_bid,yes_ask,last_price,volume
KXNFLTOTAL-26SEP27HOUIND-40,0.5900,0.6000,0.0000,0.00
KXNFLTOTAL-26SEP27HOUIND-46,0.4000,0.4100,0.4300,63.60
KXNFLTOTAL-26SEP27HOUIND-43,0.5100,0.5200,0.5100,920.43
KXNFLTOTAL-26SEP27HOUIND-48,0.3400,0.3600,0.5000,7.72
KXNFLTOTAL-26SEP27HOUIND-49,0.3200,0.3400,0.3800,2.00
KXNFLTOTAL-26SEP27HOUIND-45,0.4300,0.4400,0.4400,78.86
KXNFLTOTAL-26SEP27HOUIND-61,0.0800,0.0900,0.0800,9023.70
KXNFLTOTAL-26SEP27HOUIND-52,0.2400,0.2500,0.2200,1041.89
KXNFLTOTAL-26SEP27HOUIND-28,0.9000,0.9300,0.0000,0.00
KXNFLTOTAL-26SEP27HOUIND-34,0.7700,0.7900,0.0000,0.00
KXNFLTOTAL-26SEP27HOUIND-55,0.1700,0.2000,0.0000,0.00
KXNFLTOTAL-26SEP27HOUIND-47,0.3800,0.4000,0.0000,0.00
KXNFLTOTAL-26SEP27HOUIND-58,0.1200,0.1400,0.1300,808.47
KXNFLTOTAL-26SEP27HOUIND-25,0.9400,0.9600,0.9400,503.41
KXNFLTOTAL-26SEP27HOUIND-64,0.0500,0.0700,0.0600,18569.91
KXNFLTOTAL-26SEP27HOUIND-31,0.8400,0.8500,0.0000,0.00
KXNFLTOTAL-26SEP27HOUIND-37,0.6900,0.7100,0.0000,0.00
KXNFLTOTAL-26SEP27HOUIND-44,0.4700,0.4800,0.4700,457.56
KXNFLTOTAL-26SEP27HOUIND-67,0.0500,0.0600,0.0400,12459.00
