ticker,yes_bid,yes_ask,last_price,volume
KXNFLTOTAL-26SEP27LACBUF-42,0.7400,0.7600,0.0000,0.00
KXNFLTOTAL-26SEP27LACBUF-66,0.1000,0.1300,0.0000,0.00
KXNFLTOTAL-26SEP27LACBUF-36,0.8700,0.9000,0.9000,341.70
KXNFLTOTAL-26SEP27LACBUF-39,0.8100,0.8200,0.8100,188.36
KXNFLTOTAL-26SEP27LACBUF-45,0.6600,0.6700,0.6700,115.99
KXNFLTOTAL-26SEP27LACBUF-57,0.3000,0.3200,0.3000,6.59
KXNFLTOTAL-26SEP27LACBUF-52,0.4400,0.4600,0.4600,37.99
KXNFLTOTAL-26SEP27LACBUF-69,0.0800,0.1000,0.0900,1942.95
KXNFLTOTAL-26SEP27LACBUF-48,0.5800,0.5900,0.5900,47.00
KXNFLTOTAL-26SEP27LACBUF-33,0.9200,0.9300,0.9300,55.00
KXNFLTOTAL-26SEP27LACBUF-72,0.0500,0.0600,0.0600,2505.46
KXNFLTOTAL-26SEP27LACBUF-53,0.4200,0.4300,0.4200,113.00
KXNFLTOTAL-26SEP27LACBUF-49,0.5500,0.5600,0.5600,2776.24
KXNFLTOTAL-26SEP27LACBUF-60,0.2300,0.2500,0.2400,230.70
KXNFLTOTAL-26SEP27LACBUF-63,0.1700,0.1900,0.1700,2345.24
KXNFLTOTAL-26SEP27LACBUF-30,0.9500,0.9600,0.9500,680.66
KXNFLTOTAL-26SEP27LACBUF-54,0.3800,0.4000,0.4000,70.46
KXNFLTOTAL-26SEP27LACBUF-50,0.5100,0.5300,0.5300,1609.20
KXNFLTOTAL-26SEP27LACBUF-51,0.4700,0.4800,0.4700,2382.33
