ticker,yes_bid,yes_ask,last_price,volume
KXNFLTOTAL-26SEP28PHICHI-47,0.3600,0.3700,0.3700,2.00
KXNFLTOTAL-26SEP28PHICHI-43,0.4500,0.4600,0.4600,2266.00
KXNFLTOTAL-26SEP28PHICHI-39,0.5900,0.6100,0.6000,441.05
KXNFLTOTAL-26SEP28PHICHI-51,0.2400,0.2500,0.2800,50.00
KXNFLTOTAL-26SEP28PHICHI-33,0.7600,0.7800,0.0000,0.00
KXNFLTOTAL-26SEP28PHICHI-27,0.8900,0.9000,0.9100,132.16
KXNFLTOTAL-26SEP28PHICHI-60,0.0700,0.0900,0.0700,214.30
KXNFLTOTAL-26SEP28PHICHI-54,0.1800,0.1900,0.0000,0.00
KXNFLTOTAL-26SEP28PHICHI-48,0.3100,0.3200,0.3200,135.00
KXNFLTOTAL-26SEP28PHICHI-57,0.1300,0.1400,0.1200,1871.96
KXNFLTOTAL-26SEP28PHICHI-42,0.4800,0.4900,0.4900,3404.68
KXNFLTOTAL-26SEP28PHICHI-45,0.3900,0.4100,0.3900,4430.23
KXNFLTOTAL-26SEP28PHICHI-66,0.0400,0.0500,0.0300,843.47
KXNFLTOTAL-26SEP28PHICHI-44,0.4100,0.4200,0.4100,6524.42
KXNFLTOTAL-26SEP28PHICHI-63,0.0500,0.0600,0.0600,13180.62
KXNFLTOTAL-26SEP28PHICHI-24,0.9300,0.9500,0.9600,131.08
KXNFLTOTAL-26SEP28PHICHI-36,0.6800,0.6900,0.7000,228.72
KXNFLTOTAL-26SEP28PHICHI-46,0.3600,0.3800,0.3600,1503.44
KXNFLTOTAL-26SEP28PHICHI-30,0.8400,0.8600,0.8500,105.82
