player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Poona Ford,LAR,DT,DEN,1.07,0.97,0.11,,0.11,0.21,,,
Aidan Hutchinson,DET,DL,NYJ,1.99,0.97,0.74,0.06,0.17,0.74,0.17,0.11,
T.J. Watt,PIT,LB,CIN,1.33,1.22,0.48,0.05,0.37,0.69,0.16,0.11,
Tuli Tuipulotu,LAC,DL,BUF,1.76,0.72,0.62,,0.16,0.83,0.1,0.05,
Will Anderson,HOU,DL,IND,1.68,0.95,0.59,,0.11,0.95,0.11,0.06,
Andrew Van Ginkel,MIN,LB,TB,2.28,1.5,0.47,0.11,0.44,0.67,,0.06,
Trey Hendrickson,BAL,DE,DAL,1.6,0.68,0.68,,,0.74,0.12,,
Bradley Chubb,BUF,LB,LAC,1.46,1.4,0.55,,0.06,0.52,0.12,0.06,
Danielle Hunter,HOU,DE,IND,1.63,1.27,0.69,,0.16,0.74,0.11,,
Nik Bonitto,DEN,LB,LAR,1.64,0.77,0.67,,0.1,0.77,0.1,,
Josh Sweat,ARI,DE,SF,0.96,0.69,0.48,,,0.64,0.16,0.05,
Nick Bosa,SF,DE,ARI,1.79,0.99,0.49,,0.06,0.68,0.12,0.06,
Abdul Carter,NYG,DL,TEN,1.53,1.25,0.46,,,0.49,0.16,0.05,
Nick Herbig,PIT,LB,CIN,1.22,0.69,0.48,,0.11,0.64,0.16,0.05,
Jared Verse,CLE,DL,CAR,1.76,1.3,0.48,,0.1,0.55,0.15,0.05,
Brian Burns,NYG,DE,TEN,2.05,1.44,0.51,,0.31,0.92,0.1,0.05,
Laiatu Latu,IND,DL,HOU,1.45,0.86,0.4,0.05,0.21,0.7,0.11,0.05,
Greg Rousseau,BUF,DE,LAC,1.55,1.24,0.59,,,0.62,0.06,,
Byron Young,LAR,LB,DEN,2.04,1.82,0.59,,,0.59,0.05,,
Micah Parsons,GB,LB,ATL,0.92,0.75,0.52,,0.06,0.52,0.12,,
Dallas Turner,MIN,LB,TB,1.72,1.67,0.5,,0.22,0.67,0.11,,
David Bailey,NYJ,LB,DET,1.07,0.92,0.41,,,0.36,0.1,0.05,
Tyler Lacy,DET,DE,NYJ,0.12,0.06,0.6,,,0.48,,,
Maxx Crosby,LV,DE,NO,1.88,1.24,0.48,,0.22,1.13,0.11,,
George Karlaftis,KC,DL,MIA,1.37,0.99,0.47,,0.19,0.56,,0.06,
Rashan Gary,DAL,LB,BAL,1.33,1.04,0.41,,0.06,0.41,0.06,0.06,
Yaya Diaby,TB,DL,MIN,1.53,1.12,0.43,,0.05,0.61,0.05,0.05,
Odafe Oweh,WAS,LB,SEA,1.05,0.85,0.53,,,0.4,0.05,,
Jaelan Phillips,CAR,LB,CLE,1.47,1.36,0.42,,0.16,0.37,0.05,0.05,
DeMarcus Lawrence,SEA,DE,WAS,1.25,1.42,0.28,,0.11,0.46,0.06,0.11,
Josh Hines-Allen,JAX,DE,NE,1.58,1.14,0.52,,0.11,0.6,0.05,,
Boye Mafe,CIN,DL,PIT,2.03,1.02,0.45,,0.28,0.45,0.11,,
Dayo Odeyingbo,CHI,DE,PHI,1.19,0.73,0.34,,,0.26,0.1,0.05,
Chase Young,NO,DE,LV,1.31,0.79,0.48,,0.11,0.57,0.06,,
Kobie Turner,LAR,DT,DEN,1.56,1.39,0.43,,0.16,0.48,,0.05,
Will McDonald,NYJ,DE,DET,0.97,0.59,0.49,,0.05,0.54,0.05,,
Chris Jones,KC,DT,MIA,1.06,0.87,0.47,,0.19,0.68,0.06,,
R Mason Thomas,KC,DL,MIA,0.75,0.37,0.34,,0.12,0.37,0.06,0.06,
Jeffery Simmons,TEN,DT,NYG,1.98,1.46,0.31,,0.21,0.73,0.1,0.05,
Dre'Mont Jones,NE,DE,JAX,1.19,1.08,0.36,,0.05,0.31,0.05,0.05,
Uchenna Nwosu,SEA,LB,WAS,1.03,1.03,0.51,,0.11,0.34,,,
Vernon Broughton,NO,DT,LV,0.17,0.17,0.51,,,1.25,,,
Akheem Mesidor,LAC,DL,BUF,0.88,0.72,0.33,,0.11,0.22,0.06,0.06,
Tim Settle,WAS,DT,SEA,0.15,0.2,0.5,,,0.65,,,
K'Lavon Chaisson,WAS,LB,SEA,0.9,0.6,0.3,,0.05,0.4,0.1,0.05,
Felix Anudike-Uzomah,KC,DE,MIA,0.82,0.47,0.32,,,0.29,0.06,0.06,
