player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Alex Huntley,,DT,,,,,,,,,,
Darius Hodge,,DE,,,,,,,,,,
Austin Maloata,,NT,,,,,,,,,,
DeShawn Williams,,DT,,,,,,,,,,
Prince Emili,,DT,,,,,,,,,,
Du'Vonta Lampkin,,DT,,,,,,,,,,
Kaleb Proctor,ARI,DT,,,,,,,,,,
Grayson Murphy,,DL,,,,,,,,,,
Dontavius Russell,,NT,,,,,,,,,,
Deandre Johnson,,DE,,,,,,,,,,
Randy Charlton,,DE,,,,,,,,,,
Taylor Stallworth,,DT,,,,,,,,,,
Giorgio Newberry,,DE,,,,,,,,,,
Nicholas Williams,,DT,,,,,,,,,,
Drake Jackson,ATL,DL,,,,,,,,,,
Benson Mayowa,SEA,DE,,,,,,,,,,
Jalen Wilkerson,,DE,,,,,,,,,,
Darius Kilgo,,DT,,,,,,,,,,
Fredrick Jones,,DT,,,,,,,,,,
Thomas Costigan,,DL,,,,,,,,,,
Cam Rice,,DL,,,,,,,,,,
Cortez Broughton,,DT,,,,,,,,,,
Tyeler Davison,,DT,,,,,,,,,,
Darrion Daniels,,DT,,,,,,,,,,
Ahmad Moten,,DL,,,,,,,,,,
Viliami Fehoko,SF,DL,,,,,,,,,,
Sheldon Richardson,,DT,,,,,,,,,,
Jarrell Owens,,DE,,,,,,,,,,
Popo Aumavae,,DT,,,,,,,,,,
Solomon Byrd,HOU,DE,,,,,,,,,,
William Bradley-King,,DE,,,,,,,,,,
Alex Okafor,,DE,,,,,,,,,,
Warren Peeples,,DL,,,,,,,,,,
Cory Thomas,,DT,,,,,,,,,,
Drew Jordan,,DE,,,,,,,,,,
Andrew Brown,,DT,,,,,,,,,,
Jadeveon Clowney,HOU,DE,,,,,,,,,,
Mika Tafua,,DE,,,,,,,,,,
Nick Coe,,DE,,,,,,,,,,
Angelo Blackson,,DE,,,,,,,,,,
Darius Jackson,,DE,,,,,,,,,,
P.J. Hall,,DT,,,,,,,,,,
Jalon Walker,ATL,DL,,,,,,,,,,
Akiem Hicks,,DT,,,,,,,,,,
Eli Ankou,,DT,,,,,,,,,,
Filipo Mokofisi,,DT,,,,,,,,,,
Winston Craig,,DE,,,,,,,,,,
Immanuel Turner,,DE,,,,,,,,,,
Travis Shaw,,DT,,,,,,,,,,
Kevin Atkins,,DT,,,,,,,,,,
Joel Heath,,DE,,,,,,,,,,
Jacob Slade,,DL,,,,,,,,,,
Devonta Davis,,DL,,,,,,,,,,
