player,team,pos,opp,pts_ppr,pass_att,pass_cmp,pass_inc,pass_yd,pass_td,pass_int,pass_sack,pass_fd,rush_att,rush_yd,rush_td,rush_fd,rec,rec_tgt,rec_yd,rec_td,rec_fd,fum_lost,pts_allow,fgm,xpm,sack,int,fum_rec,def_td
Caleb Douglas,MIA,WR,KC,4.73,,,,,,,,,0.05,0.19,0.0,0.02,1.76,2.82,23.0,0.11,2.3,0.01,,,,,,,
Elic Ayomanor,TEN,WR,NYG,4.67,,,,,,,,,,,,,1.49,3.15,22.91,0.15,2.29,0.01,,,,,,,
Skyy Moore,GB,WR,ATL,4.66,,,,,,,,,0.35,1.92,0.01,0.19,1.65,3.02,20.08,0.13,2.01,0.01,,,,,,,
Isaac TeSlaa,DET,WR,NYJ,4.43,,,,,,,,,0.05,0.25,0.0,0.03,1.37,2.44,20.08,0.17,2.01,0.01,,,,,,,
Darnell Mooney,NYG,WR,TEN,4.21,,,,,,,,,0.06,0.27,0.0,0.03,1.39,2.64,22.92,0.08,2.29,0.01,,,,,,,
Antonio Williams,WAS,WR,SEA,4.19,,,,,,,,,0.11,0.45,0.0,0.05,1.58,2.67,18.85,0.11,1.88,0.01,,,,,,,
Xavier Legette,CAR,WR,CLE,4.13,,,,,,,,,0.05,0.22,0.0,0.02,1.51,2.92,18.2,0.13,1.82,0.01,,,,,,,
Germie Bernard,PIT,WR,CIN,4.12,,,,,,,,,0.05,0.28,0.0,0.03,1.44,2.6,19.17,0.12,1.92,0.01,,,,,,,
Bryce Lance,NO,WR,LV,4.08,,,,,,,,,,,,,1.56,2.51,17.57,0.13,1.76,0.01,,,,,,,
Jahan Dotson,ATL,WR,GB,4.04,,,,,,,,,0.03,0.11,0.0,0.01,1.44,2.8,17.49,0.14,1.75,0.01,,,,,,,
Jaylin Noel,HOU,WR,IND,3.84,,,,,,,,,0.08,0.31,0.0,0.03,1.27,1.95,18.79,0.11,1.88,0.01,,,,,,,
