player,team,pos,opp,pts_ppr,pass_att,pass_cmp,pass_inc,pass_yd,pass_td,pass_int,pass_sack,pass_fd,rush_att,rush_yd,rush_td,rush_fd,rec,rec_tgt,rec_yd,rec_td,rec_fd,fum_lost,pts_allow,fgm,xpm,sack,int,fum_rec,def_td
Eric Frohnapfel,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Braunecker,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Harrell,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Wilson,TEN,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Pinkney,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Sefcik,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Griffin,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devon Garrison,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Celek,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colin Granger,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Honigford,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeShon Williams,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tip Reiman,ARI,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Breeland,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Zylstra,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent Taylor,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
James O'Shaughnessy,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Firkser,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Benson,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Kroft,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dre Miller,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
