player_id,first_name,last_name,team,pos,gp,gs,off_snp,tm_off_snp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_sack,rush_att,rush_yd,rush_td,rec,rec_tgt,rec_yd,rec_td,rec_air_yd,rec_rz_tgt,fum_lost,pass_2pt,rush_2pt,rec_2pt,rec_fd,rush_fd,pass_fd,fgm,fga,xpm,xpa,fgm_0_19,fgm_20_29,fgm_30_39,fgm_40_49,fgm_50p,pts_allow,sack,int,fum_rec,def_td,safe,blk_kick,pts_ppr,pts_std
CAR,Carolina,Panthers,CAR,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,3.0,2.0,1.0,,,26.0,26.0
NE,New England,Patriots,NE,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,1.0,1.0,1.0,,,23.0,23.0
MIN,Minnesota,Vikings,MIN,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,1.0,1.0,,,1.0,18.0,18.0
LV,Las Vegas,Raiders,LV,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,3.0,2.0,1.0,,1.0,,16.0,16.0
LAR,Los Angeles,Rams,LAR,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,1.0,,,,,12.0,12.0
CIN,Cincinnati,Bengals,CIN,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,,,,,,11.0,11.0
NYJ,New York,Jets,NYJ,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,3.0,,1.0,,,,10.0,10.0
PIT,Pittsburgh,Steelers,PIT,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,3.0,1.0,1.0,,,,10.0,10.0
SF,San Francisco,49ers,SF,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,4.0,,,,,,9.0,9.0
SEA,Seattle,Seahawks,SEA,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,1.0,,,,,8.0,8.0
DEN,Denver,Broncos,DEN,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.0,1.0,,,,,8.0,8.0
NO,New Orleans,Saints,NO,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,3.0,1.0,,,,1.0,8.0,8.0
TEN,Tennessee,Titans,TEN,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,3.0,2.0,,,,,7.0,7.0
CHI,Chicago,Bears,CHI,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3.0,,,,,,7.0,7.0
CLE,Cleveland,Browns,CLE,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,3.0,1.0,,,,,7.0,7.0
NYG,New York,Giants,NYG,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,1.0,1.0,1.0,,,,6.0,6.0
HOU,Houston,Texans,HOU,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,,,,,,6.0,6.0
LAC,Los Angeles,Chargers,LAC,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,2.0,1.0,,,,,5.0,5.0
DAL,Dallas,Cowboys,DAL,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,1.0,,,,5.0,5.0
GB,Green Bay,Packers,GB,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,4.0,,,,,,5.0,5.0
PHI,Philadelphia,Eagles,PHI,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,2.0,,,,,,4.0,4.0
ARI,Arizona,Cardinals,ARI,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,1.0,,1.0,,,,4.0,4.0
BUF,Buffalo,Bills,BUF,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,4.0,,,,,,4.0,4.0
BAL,Baltimore,Ravens,BAL,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,3.0,,,,,,3.0,3.0
JAX,Jacksonville,Jaguars,JAX,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,1.0,,,,,3.0,3.0
ATL,Atlanta,Falcons,ATL,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,2.0,,,,,,2.0,2.0
TB,Tampa Bay,Buccaneers,TB,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2.0,,,,,,2.0,2.0
KC,Kansas City,Chiefs,KC,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,1.0,,,,,1.0,1.0
IND,Indianapolis,Colts,IND,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,2.0,,,,,,1.0,1.0
DET,Detroit,Lions,DET,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,2.0,,,,,,-1.0,-1.0
WAS,Washington,Commanders,WAS,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,2.0,,,,,,-2.0,-2.0
MIA,Miami,Dolphins,MIA,DEF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,-4.0,-4.0
