player_id,first_name,last_name,team,pos,gp,gs,off_snp,tm_off_snp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_sack,rush_att,rush_yd,rush_td,rec,rec_tgt,rec_yd,rec_td,rec_air_yd,rec_rz_tgt,fum_lost,pass_2pt,rush_2pt,rec_2pt,rec_fd,rush_fd,pass_fd,fgm,fga,xpm,xpa,fgm_0_19,fgm_20_29,fgm_30_39,fgm_40_49,fgm_50p,pts_allow,sack,int,fum_rec,def_td,safe,blk_kick,pts_ppr,pts_std
9488,Jaxon,Smith-Njigba,SEA,WR,1.0,1.0,47.0,70.0,,,,,,,,,,9.0,11.0,155.0,3.0,103.0,3.0,,,,,5.0,,,,,,,,,,,,,,,,,,,42.5,33.5
2133,Davante,Adams,LAR,WR,1.0,1.0,40.0,62.0,,,,,,,,,,8.0,10.0,195.0,2.0,149.0,1.0,,,,,5.0,,,,,,,,,,,,,,,,,,,39.5,31.5
6786,CeeDee,Lamb,DAL,WR,1.0,1.0,41.0,55.0,,,,,,,,,,8.0,9.0,153.0,2.0,125.0,1.0,,,,,5.0,,,,,,,,,,,,,,,,,,,35.3,27.3
7547,Amon-Ra,St. Brown,DET,WR,1.0,1.0,62.0,65.0,,,,,,,,,,9.0,13.0,142.0,2.0,99.0,2.0,,,,,5.0,,,,,,,,,,,,,,,,,,,35.2,26.2
7525,DeVonta,Smith,PHI,WR,1.0,1.0,67.0,76.0,,,,,,,,,,10.0,13.0,117.0,1.0,110.0,1.0,,,,,6.0,,,,,,,,,,,,,,,,,,,27.7,17.7
7564,Ja'Marr,Chase,CIN,WR,1.0,1.0,53.0,60.0,,,,,,,,,,7.0,9.0,75.0,2.0,60.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,26.5,19.5
10213,Tre,Tucker,LV,WR,1.0,1.0,37.0,63.0,,,,,,,,,,5.0,7.0,119.0,1.0,117.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,22.9,17.9
8144,Chris,Olave,NO,WR,1.0,1.0,57.0,68.0,,,,,,,,,,8.0,10.0,86.0,1.0,68.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,22.6,14.6
7571,Rashod,Bateman,BAL,WR,1.0,1.0,54.0,58.0,,,,,,,,,,7.0,9.0,88.0,1.0,86.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,21.8,14.8
7526,Jaylen,Waddle,DEN,WR,1.0,1.0,38.0,62.0,,,,,,,,,,8.0,10.0,138.0,,103.0,1.0,,,,,6.0,,,,,,,,,,,,,,,,,,,21.8,13.8
2449,Stefon,Diggs,WAS,WR,1.0,,36.0,71.0,,,,,,,,,,5.0,6.0,47.0,2.0,43.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,21.7,16.7
13346,Denzel,Boston,CLE,WR,1.0,1.0,54.0,58.0,,,,,,,,,,5.0,7.0,95.0,1.0,45.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,20.5,15.5
9487,Parker,Washington,JAX,WR,1.0,1.0,48.0,59.0,,,,,,,,,,7.0,12.0,98.0,,93.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,16.8,9.8
8146,Garrett,Wilson,NYJ,WR,1.0,1.0,65.0,74.0,,,,,,,,,,5.0,7.0,57.0,1.0,54.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,16.7,11.7
7039,Cody,White,LV,WR,1.0,,7.0,63.0,,,,,,,,,,2.0,2.0,24.0,2.0,24.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,16.4,14.4
12526,Tetairoa,McMillan,CAR,WR,1.0,1.0,53.0,66.0,,,,,,,,,,5.0,10.0,101.0,,85.0,3.0,,,,,4.0,,,,,,,,,,,,,,,,,,,15.1,10.1
11421,Ryan,Miller,MIA,WR,1.0,,7.0,59.0,,,,,,,,,,1.0,1.0,77.0,1.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,14.7,13.7
11646,Jalen,Coker,CAR,WR,1.0,1.0,50.0,66.0,,,,,,,,,,8.0,9.0,66.0,,45.0,4.0,,,,,3.0,,,,,,,,,,,,,,,,,,,14.6,6.6
6801,Tee,Higgins,CIN,WR,1.0,1.0,43.0,60.0,,,,,,,,,,5.0,10.0,95.0,,62.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,14.5,9.5
