player_id,first_name,last_name,team,pos,gp,gs,off_snp,tm_off_snp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_sack,rush_att,rush_yd,rush_td,rec,rec_tgt,rec_yd,rec_td,rec_air_yd,rec_rz_tgt,fum_lost,pass_2pt,rush_2pt,rec_2pt,rec_fd,rush_fd,pass_fd,fgm,fga,xpm,xpa,fgm_0_19,fgm_20_29,fgm_30_39,fgm_40_49,fgm_50p,pts_allow,sack,int,fum_rec,def_td,safe,blk_kick,pts_ppr,pts_std
11834,Devaughn,Vele,NO,WR,1.0,1.0,65.0,68.0,,,,,,,,,,5.0,7.0,64.0,,51.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,11.4,6.4
7670,Joshua,Palmer,BUF,WR,1.0,,28.0,74.0,,,,,,,,,,1.0,3.0,43.0,1.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,11.3,10.3
11608,Isaiah,Williams,NYJ,WR,1.0,1.0,61.0,74.0,,,,,,,1.0,14.0,,6.0,6.0,34.0,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,10.8,4.8
13150,Darius,Cooper,PHI,WR,1.0,,31.0,76.0,,,,,,,,,,2.0,3.0,26.0,1.0,8.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,10.6,8.6
12514,Emeka,Egbuka,TB,WR,1.0,1.0,56.0,65.0,,,,,,,1.0,-3.0,,3.0,5.0,16.0,1.0,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,10.3,7.3
8137,George,Pickens,DAL,WR,1.0,1.0,42.0,55.0,,,,,,,,,,6.0,8.0,40.0,,38.0,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,10.0,4.0
12501,Matthew,Golden,GB,WR,1.0,1.0,51.0,59.0,,,,,,,,,,4.0,6.0,58.0,,26.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,9.8,5.8
3155,Laquon,Treadwell,IND,WR,1.0,,48.0,65.0,,,,,,,,,,3.0,3.0,61.0,,54.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,9.1,6.1
3634,Kalif,Raymond,CHI,WR,1.0,,46.0,74.0,,,,,,,,,,5.0,5.0,40.0,,7.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,9.0,4.0
8112,Drake,London,ATL,WR,1.0,1.0,43.0,69.0,,,,,,,1.0,-2.0,,4.0,5.0,51.0,,18.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,8.9,4.9
12499,Elic,Ayomanor,TEN,WR,1.0,1.0,28.0,53.0,,,,,,,,,,2.0,3.0,69.0,,28.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,8.9,6.9
4037,Chris,Godwin,TB,WR,1.0,1.0,56.0,65.0,,,,,,,1.0,12.0,,3.0,3.0,46.0,,33.0,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,8.8,5.8
11610,Malik,Washington,MIA,WR,1.0,1.0,43.0,59.0,,,,,,,1.0,4.0,,4.0,5.0,43.0,,23.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,8.7,4.7
12505,Jalen,Royals,KC,WR,1.0,,12.0,80.0,,,,,,,,,,2.0,2.0,6.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,8.6,6.6
6794,Justin,Jefferson,MIN,WR,1.0,1.0,52.0,52.0,,,,,,,,,,3.0,6.0,55.0,,45.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,8.5,5.5
2216,Mike,Evans,SF,WR,1.0,1.0,28.0,52.0,,,,,,,,,,3.0,3.0,54.0,,40.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,8.4,5.4
11626,Xavier,Legette,CAR,WR,1.0,,33.0,66.0,,,,,,,,,,2.0,4.0,64.0,,54.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,8.4,6.4
13298,KC,Concepcion,CLE,WR,1.0,1.0,38.0,58.0,,,,,,,1.0,-6.0,,6.0,6.0,28.0,,12.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,8.2,2.2
11630,Roman,Wilson,PIT,WR,1.0,1.0,55.0,70.0,,,,,,,,,,5.0,6.0,28.0,,6.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,7.8,2.8
13274,Germie,Bernard,PIT,WR,1.0,,55.0,70.0,,,,,,,,,,4.0,8.0,35.0,,23.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,7.5,3.5
11783,Ryan,Flournoy,DAL,WR,1.0,1.0,42.0,55.0,,,,,,,,,,5.0,6.0,23.0,,7.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,7.3,2.3
11620,Rome,Odunze,CHI,WR,1.0,1.0,62.0,74.0,,,,,,,,,,3.0,4.0,43.0,,41.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,7.3,4.3
5927,Terry,McLaurin,WAS,WR,1.0,1.0,50.0,71.0,,,,,,,,,,2.0,9.0,50.0,,26.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,7.0,5.0
11631,Brian,Thomas,JAX,WR,1.0,,32.0,59.0,,,,,,,,,,3.0,9.0,40.0,,33.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,7.0,4.0
8676,Rashid,Shaheed,SEA,WR,1.0,1.0,39.0,70.0,,,,,,,1.0,4.0,,3.0,6.0,35.0,,10.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,6.9,3.9
7090,Darnell,Mooney,NYG,WR,1.0,,42.0,58.0,,,,,,,,,,2.0,3.0,48.0,,30.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,6.8,4.8
8134,Khalil,Shakir,BUF,WR,1.0,1.0,36.0,74.0,,,,,,,,,,3.0,6.0,38.0,,19.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,6.8,3.8
5846,DK,Metcalf,PIT,WR,1.0,1.0,68.0,70.0,,,,,,,,,,4.0,9.0,27.0,,12.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,6.7,2.7
