player_id,first_name,last_name,team,pos,gp,gs,off_snp,tm_off_snp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_sack,rush_att,rush_yd,rush_td,rec,rec_tgt,rec_yd,rec_td,rec_air_yd,rec_rz_tgt,fum_lost,pass_2pt,rush_2pt,rec_2pt,rec_fd,rush_fd,pass_fd,fgm,fga,xpm,xpa,fgm_0_19,fgm_20_29,fgm_30_39,fgm_40_49,fgm_50p,pts_allow,sack,int,fum_rec,def_td,safe,blk_kick,pts_ppr,pts_std
3202,Austin,Hooper,ATL,TE,1.0,,16.0,71.0,,,,,,,,,,2.0,2.0,11.0,1.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,9.1,7.1
9484,Tucker,Kraft,GB,TE,1.0,1.0,50.0,66.0,,,,,,,,,,4.0,8.0,26.0,,8.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,6.6,2.6
4144,Jonnu,Smith,GB,TE,1.0,,22.0,66.0,,,,,,,,,,2.0,3.0,16.0,,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.6,1.6
7553,Kyle,Pitts,ATL,TE,1.0,1.0,42.0,71.0,,,,,,,,,,1.0,2.0,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.5
10212,Josh,Whyle,GB,TE,1.0,,1.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13210,Drake,Dabney,GB,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13013,Mark,Redman,GB,TE,1.0,1.0,8.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13846,Jack,Velling,ATL,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12113,Thomas,Yassmin,GB,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7075,Charlie,Woerner,ATL,TE,1.0,,43.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9481,Luke,Musgrave,GB,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8523,Nick,Muse,ATL,TE,1.0,,17.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
