player_id,first_name,last_name,team,pos,gp,gs,off_snp,tm_off_snp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_sack,rush_att,rush_yd,rush_td,rec,rec_tgt,rec_yd,rec_td,rec_air_yd,rec_rz_tgt,fum_lost,pass_2pt,rush_2pt,rec_2pt,rec_fd,rush_fd,pass_fd,fgm,fga,xpm,xpa,fgm_0_19,fgm_20_29,fgm_30_39,fgm_40_49,fgm_50p,pts_allow,sack,int,fum_rec,def_td,safe,blk_kick,pts_ppr,pts_std
8112,Drake,London,ATL,WR,1.0,1.0,66.0,71.0,,,,,,,,,,9.0,10.0,194.0,,82.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,28.4,19.4
8167,Christian,Watson,GB,WR,1.0,1.0,53.0,66.0,,,,,,,,,,7.0,10.0,96.0,1.0,70.0,3.0,,,,,4.0,,,,,,,,,,,,,,,,,,,22.6,15.6
12501,Matthew,Golden,GB,WR,1.0,1.0,54.0,66.0,,,,,,,,,,5.0,12.0,100.0,1.0,70.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,21.0,16.0
8168,Skyy,Moore,GB,WR,1.0,,34.0,66.0,,,,,,,,,,3.0,7.0,31.0,,7.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,6.1,3.1
13770,J. Michael,Sturdivant,GB,WR,1.0,,21.0,66.0,,,,,,,,,,3.0,3.0,22.0,,22.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,5.2,2.2
6271,Olamide,Zaccheaus,ATL,WR,1.0,,24.0,71.0,,,,,,,,,,2.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,0.9
8119,Jahan,Dotson,ATL,WR,1.0,1.0,47.0,71.0,,,,,,,,,,1.0,3.0,11.0,,6.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.1,1.1
7521,Chris,Blair,ATL,WR,1.0,,13.0,71.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,2.0
13320,Zachariah,Branch,ATL,WR,1.0,1.0,13.0,71.0,,,,,,,,,,1.0,2.0,7.0,,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.7,0.7
12482,Savion,Williams,GB,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12460,Antwane,Wells,ATL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12884,Quincy,Skinner,GB,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8204,Bo,Melton,GB,WR,1.0,,21.0,66.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13343,Vinny,Anthony,ATL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13074,Isaiah,Neyor,GB,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12889,Beaux,Collins,ATL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11474,Dylan,Drummond,ATL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
