player_id,count,first_name,last_name,team,pos,kind
11435,3700530,Emanuel,Wilson,SEA,RB,add
11625,3027824,Adonai,Mitchell,NYJ,WR,add
12545,1951112,Tyler,Shough,NO,QB,add
1339,1190583,Zach,Ertz,PHI,TE,add
10213,1165446,Tre,Tucker,LV,WR,add
11637,1098810,Keon,Coleman,BUF,WR,add
9228,1045192,Bryce,Young,CAR,QB,add
2505,988587,Darren,Waller,CAR,TE,add
5849,835816,Kyler,Murray,MIN,QB,add
1166,803544,Kirk,Cousins,LV,QB,add
MIN,791010,,MIN,MIN,DEF,add
9225,745913,Tank,Bigsby,PHI,RB,add
12487,644176,Terrance,Ferguson,LAR,TE,add
6650,613448,Chase,McLaughlin,TB,K,add
13346,566360,Denzel,Boston,CLE,WR,add
12493,539800,Oronde,Gadsden,LAC,TE,add
4035,524928,Alvin,Kamara,NO,RB,add
2307,507768,Marcus,Mariota,WAS,QB,add
13337,490851,Emmett,Johnson,KC,RB,add
13345,474582,Jonah,Coleman,DEN,RB,add
9486,469755,Dontayvion,Wicks,PHI,WR,add
3163,394045,Jared,Goff,DET,QB,add
9758,388668,C.J.,Stroud,HOU,QB,add
8188,384209,Tyquan,Thornton,KC,WR,add
11624,350964,Xavier,Worthy,KC,WR,add
11256,341910,Tyson,Bagent,CHI,QB,add
6828,335792,AJ,Dillon,CAR,RB,add
NYG,301268,,NYG,NYG,DEF,add
4017,257344,Deshaun,Watson,CLE,QB,add
DET,251451,,DET,DET,DEF,add
11610,239136,Malik,Washington,MIA,WR,add
9500,235125,Josh,Downs,IND,WR,add
11608,228264,Isaiah,Williams,NYJ,WR,add
NO,218390,,NO,NO,DEF,add
4227,213600,Harrison,Butker,KC,K,add
8134,212211,Khalil,Shakir,BUF,WR,add
13545,210784,Trey,Smack,GB,K,add
7571,202441,Rashod,Bateman,BAL,WR,add
11834,195818,Devaughn,Vele,NO,WR,add
6149,167184,Darius,Slayton,IND,WR,add
TB,1448770,,TB,TB,DEF,drop
13296,1125008,Caleb,Douglas,MIA,WR,drop
10222,1029447,Jayden,Reed,GB,WR,drop
9482,892881,Michael,Mayer,LV,TE,drop
6130,731934,Devin,Singletary,NYG,RB,drop
10219,680238,Chris,Rodriguez,JAX,RB,drop
12508,577430,Jaxson,Dart,NYG,QB,drop
11566,561432,Jayden,Daniels,WAS,QB,drop
9754,548800,Quentin,Johnston,LAC,WR,drop
11581,496692,MarShawn,Lloyd,GB,RB,drop
3161,465618,Carson,Wentz,MIN,QB,drop
7567,458456,Kenny,Gainwell,TB,RB,drop
8180,397629,Jalen,Nailor,LV,WR,drop
13298,334350,KC,Concepcion,CLE,WR,drop
13330,332307,Kenyon,Sadiq,NYJ,TE,drop
13285,320285,Malachi,Fields,NYG,WR,drop
13414,320271,Kaelon,Black,SF,RB,drop
10218,319172,Xavier,Hutchinson,HOU,WR,drop
2020,312032,Cairo,Santos,CHI,K,drop
9756,307350,Jordan,Addison,MIN,WR,drop
JAX,307020,,JAX,JAX,DEF,drop
12492,277712,Pat,Bryant,DEN,WR,drop
9511,270819,Keaton,Mitchell,LAC,RB,drop
9480,266310,Brenton,Strange,JAX,TE,drop
11583,265036,Jonathon,Brooks,CAR,RB,drop
11628,249752,Marvin,Harrison,ARI,WR,drop
5947,248316,Jakobi,Meyers,JAX,WR,drop
3286,247368,Demarcus,Robinson,SF,WR,drop
13311,238252,Chris,Bell,MIA,WR,drop
BAL,237165,,BAL,BAL,DEF,drop
DET,234279,,DET,DET,DEF,drop
8161,232743,Malik,Willis,MIA,QB,drop
5045,232722,Courtland,Sutton,DEN,WR,drop
4993,232492,Mike,Gesicki,CIN,TE,drop
13294,231092,Makai,Lemon,PHI,WR,drop
12718,222021,Konata,Mumpfield,LAR,WR,drop
8142,213056,Alec,Pierce,IND,WR,drop
8132,207295,Tyler,Allgeier,ARI,RB,drop
11435,196875,Emanuel,Wilson,SEA,RB,drop
6819,195220,Michael,Pittman,PIT,WR,drop
