side,team_id,owner,record,rank,total,proj,slot,player,pid,nfl,pos,status,game,fan_pts,proj_pts,pulled_at
me,7,OVERKILL,2-2-0,6,32.20,129.75,QB,Matthew Stafford,9265,LAR,QB,,Sun 8:20 pm @ Den ,–,21.58,2026-09-26T14:53:35+00:00
me,7,OVERKILL,2-2-0,6,32.20,129.75,RB,James Cook III,34019,BUF,RB,,Sun 1:00 pm vs LAC ,–,16.23,2026-09-26T14:53:35+00:00
me,7,OVERKILL,2-2-0,6,32.20,129.75,RB,MarShawn Lloyd,40971,GB,RB,,Final L 14-35 vs Atl,3.80,8.39,2026-09-26T14:53:35+00:00
me,7,OVERKILL,2-2-0,6,32.20,129.75,WR,Jaxon Smith-Njigba,40041,SEA,WR,,Sun 1:00 pm @ Was ,–,20.59,2026-09-26T14:53:35+00:00
me,7,OVERKILL,2-2-0,6,32.20,129.75,WR,Drake London,33963,ATL,WR,,Final W 35-14 @ GB,28.40,14.83,2026-09-26T14:53:35+00:00
me,7,OVERKILL,2-2-0,6,32.20,129.75,WR,Malik Washington,41058,MIA,WR,,Sun 1:00 pm vs KC ,–,9.77,2026-09-26T14:53:35+00:00
me,7,OVERKILL,2-2-0,6,32.20,129.75,TE,Sam LaPorta,40064,DET,TE,,Sun 1:00 pm vs NYJ ,–,11.66,2026-09-26T14:53:35+00:00
me,7,OVERKILL,2-2-0,6,32.20,129.75,W/R/T,Isaiah Likely,34095,NYG,TE,,Sun 1:00 pm vs Ten ,–,9.52,2026-09-26T14:53:35+00:00
me,7,OVERKILL,2-2-0,6,32.20,129.75,K,Jason Myers,28378,SEA,K,,Sun 1:00 pm @ Was ,–,9.75,2026-09-26T14:53:35+00:00
me,7,OVERKILL,2-2-0,6,32.20,129.75,DEF,49ers,100025,SF,DEF,,Sun 4:05 pm vs Ari ,–,7.43,2026-09-26T14:53:35+00:00
me,7,OVERKILL,2-2-0,6,32.20,129.75,BN,Jauan Jennings,32887,MIN,WR,,Sun 4:05 pm @ TB ,–,5.91,2026-09-26T14:53:35+00:00
me,7,OVERKILL,2-2-0,6,32.20,129.75,BN,Josh Jacobs,31856,GB,RB,CEL,Final L 14-35 vs Atl,0.00,0.00,2026-09-26T14:53:35+00:00
me,7,OVERKILL,2-2-0,6,32.20,129.75,BN,Ray Davis,40980,BUF,RB,,Sun 1:00 pm vs LAC ,–,2.55,2026-09-26T14:53:35+00:00
me,7,OVERKILL,2-2-0,6,32.20,129.75,BN,Ryan Flournoy,41087,DAL,WR,,Sun 4:25 pm vs Bal ,–,8.71,2026-09-26T14:53:35+00:00
me,7,OVERKILL,2-2-0,6,32.20,129.75,BN,DeMario Douglas,40222,NE,WR,,Sun 1:00 pm @ Jax ,–,7.60,2026-09-26T14:53:35+00:00
me,7,OVERKILL,2-2-0,6,32.20,129.75,BN,Xavier Hutchinson,40232,HOU,WR,,Sun 1:00 pm @ Ind ,–,8.68,2026-09-26T14:53:35+00:00
me,7,OVERKILL,2-2-0,6,32.20,129.75,BN,Makai Lemon,42642,PHI,WR,,Mon 8:15 pm @ Chi ,–,7.12,2026-09-26T14:53:35+00:00
me,7,OVERKILL,2-2-0,6,32.20,129.75,BN,Vikings,100016,MIN,DEF,,Sun 4:05 pm @ TB ,–,6.64,2026-09-26T14:53:35+00:00
opp,9,Rayland,0-4-0,11,6.60,137.85,QB,Tyler Shough,41825,NO,QB,,Sun 4:25 pm vs LV ,–,24.52,2026-09-26T14:53:35+00:00
opp,9,Rayland,0-4-0,11,6.60,137.85,RB,De'Von Achane,40118,MIA,RB,,Sun 1:00 pm vs KC ,–,17.62,2026-09-26T14:53:35+00:00
opp,9,Rayland,0-4-0,11,6.60,137.85,RB,Quinshon Judkins,41821,CLE,RB,,Sun 1:00 pm vs Car ,–,13.52,2026-09-26T14:53:35+00:00
opp,9,Rayland,0-4-0,11,6.60,137.85,WR,Ja'Marr Chase,33393,CIN,WR,,Sun 1:00 pm @ Pit ,–,19.54,2026-09-26T14:53:35+00:00
