ts,team,team_id,player,pid,nfl,pos,status,kind,action,pulled_at
"Sep 23, 12:05 pm",Ex-Presidents,5,Emanuel Wilson,40707,SEA,RB,,Free Agent,add,2026-09-24T17:27:39+00:00
"Sep 23, 12:05 pm",Ex-Presidents,5,Jaxson Dart,41810,NYG,QB,O,To Waivers,drop,2026-09-24T17:27:39+00:00
"Sep 23, 6:47 am",65 SOUTH,2,Darius Slayton,32003,IND,WR,,Free Agent,add,2026-09-24T17:27:39+00:00
"Sep 23, 6:47 am",65 SOUTH,2,Malik Willis,34042,MIA,QB,,To Waivers,drop,2026-09-24T17:27:39+00:00
"Sep 23, 5:18 am",Deadites,4,Trey Smack,42838,GB,K,,$0 Waiver,add,2026-09-24T17:27:39+00:00
"Sep 23, 5:18 am",Deadites,4,Cameron Dicker,34344,LAC,K,,To Waivers,drop,2026-09-24T17:27:39+00:00
"Sep 23, 5:18 am",Regulators,1,Malachi Fields,42696,NYG,WR,,$3 Waiver,add,2026-09-24T17:27:39+00:00
"Sep 23, 5:18 am",Regulators,1,Tre' Harris,41840,LAC,WR,,To Waivers,drop,2026-09-24T17:27:39+00:00
"Sep 23, 5:18 am",Sycawhores,11,Oronde Gadsden,41951,LAC,TE,,$5 Waiver,add,2026-09-24T17:27:39+00:00
"Sep 23, 5:18 am",Sycawhores,11,Michael Mayer,40065,LV,TE,,To Waivers,drop,2026-09-24T17:27:39+00:00
"Sep 23, 5:18 am",FWU,6,Jordyn Tyson,42630,NO,WR,IR-R,$7 Waiver,add,2026-09-24T17:27:39+00:00
"Sep 23, 5:18 am",FWU,6,Antonio Williams,42693,WAS,WR,,To Waivers,drop,2026-09-24T17:27:39+00:00
"Sep 23, 5:18 am",Ex-Presidents,5,Jameis Winston,28389,NYG,QB,,$7 Waiver,add,2026-09-24T17:27:39+00:00
"Sep 23, 5:18 am",Ex-Presidents,5,Mack Hollins,30231,NE,WR,,To Waivers,drop,2026-09-24T17:27:39+00:00
"Sep 23, 5:18 am",FWU,6,Tank Dell,40097,HOU,WR,IR-R,$11 Waiver,add,2026-09-24T17:27:39+00:00
"Sep 23, 5:18 am",FWU,6,Demarcus Robinson,29360,SF,WR,O,To Waivers,drop,2026-09-24T17:27:39+00:00
"Sep 20, 6:18 pm",Phish Phanatics,8,Terrance Ferguson,41831,LAR,TE,Q,Free Agent,add,2026-09-24T17:27:39+00:00
"Sep 20, 6:18 pm",Phish Phanatics,8,Pat Bryant,41860,DEN,WR,,To Waivers,drop,2026-09-24T17:27:39+00:00
"Sep 20, 3:08 pm",Phish Phanatics,8,Jonah Coleman,42730,DEN,RB,Q,Free Agent,add,2026-09-24T17:27:39+00:00
"Sep 20, 3:08 pm",Phish Phanatics,8,Kenyon Sadiq,42638,NYJ,TE,,To Waivers,drop,2026-09-24T17:27:39+00:00
"Sep 20, 12:10 pm",OVERKILL,7,Makai Lemon,42642,PHI,WR,,Free Agent,add,2026-09-24T17:27:39+00:00
"Sep 20, 12:10 pm",OVERKILL,7,Calvin Ridley,30996,TEN,WR,,To Waivers,drop,2026-09-24T17:27:39+00:00
"Sep 19, 11:13 pm",FWU,6,Antonio Williams,42693,WAS,WR,,Free Agent,add,2026-09-24T17:27:39+00:00
"Sep 19, 4:03 am",Rayland,9,Justice Hill,31945,BAL,RB,,$1 Waiver,add,2026-09-24T17:27:39+00:00
"Sep 19, 4:03 am",Rayland,9,Elijah Arroyo,41835,SEA,TE,,To Waivers,drop,2026-09-24T17:27:39+00:00
"Sep 18, 9:40 am",Regulators,1,Tre' Harris,41840,LAC,WR,,Free Agent,add,2026-09-24T17:27:39+00:00
"Sep 18, 9:40 am",Regulators,1,Malachi Fields,42696,NYG,WR,,To Waivers,drop,2026-09-24T17:27:39+00:00
"Sep 16, 9:44 pm",Deadites,4,T.J. Hockenson,31840,MIN,TE,,Free Agent,add,2026-09-24T17:27:39+00:00
"Sep 16, 9:44 pm",Deadites,4,Jacob Saylors,40474,DET,RB,,To Waivers,drop,2026-09-24T17:27:39+00:00
"Sep 16, 3:54 pm",Ex-Presidents,5,Mack Hollins,30231,NE,WR,,Free Agent,add,2026-09-24T17:27:39+00:00
"Sep 16, 3:54 pm",Ex-Presidents,5,De'Zhaun Stribling,42655,SF,WR,IR,To Waivers,drop,2026-09-24T17:27:39+00:00
"Sep 16, 11:14 am",FWU,6,Chris Bell,42716,MIA,WR,Q,To Waivers,drop,2026-09-24T17:27:39+00:00
"Sep 16, 11:08 am",FWU,6,Tyler Loop,41988,BAL,K,,Free Agent,add,2026-09-24T17:27:39+00:00
"Sep 16, 11:08 am",FWU,6,Jake Bates,40835,DET,K,,To Waivers,drop,2026-09-24T17:27:39+00:00
"Sep 16, 5:08 am",Regulators,1,Malachi Fields,42696,NYG,WR,,$0 Waiver,add,2026-09-24T17:27:39+00:00
"Sep 16, 5:08 am",Regulators,1,Makai Lemon,42642,PHI,WR,,To Waivers,drop,2026-09-24T17:27:39+00:00
