team_id,owner,record,rank,slot,player,pid,nfl,pos,status,game,bye,fan_pts,proj_pts,pulled_at
1,My Team is on IR,1-1-0 PF 545.20,5,QB,Jordan Love,32696,GB,QB,,Thu 8:15 pm vs Atl ,11,–,34.54,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,RB,Chase Brown,40196,CIN,RB,,Sun 1:00 pm @ Pit ,6,–,15.45,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,WR,Puka Nacua,40168,LAR,WR,Q,Sun 8:20 pm @ Den ,11,–,16.26,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,TE,Tyler Warren,41799,IND,TE,,Sun 1:00 pm vs Hou ,13,–,10.42,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,W/R,George Pickens,34007,DAL,WR,,Sun 4:25 pm vs Bal ,14,–,15.74,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,W/R/T,Breece Hall,33991,NYJ,RB,,Sun 1:00 pm @ Det ,13,–,14.41,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,Q/W/R/T,Bryce Young,40029,CAR,QB,,Sun 1:00 pm @ Cle ,5,–,32.74,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,BN,Jaxson Dart,41810,NYG,QB,O,Sun 1:00 pm vs Ten ,8,–,0.00,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,BN,Josh Jacobs,31856,GB,RB,CEL,Thu 8:15 pm vs Atl ,11,–,0.00,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,BN,Chuba Hubbard,33514,CAR,RB,,Sun 1:00 pm @ Cle ,5,–,13.87,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,BN,Courtland Sutton,31010,DEN,WR,,Sun 8:20 pm vs LAR ,10,–,9.62,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,BN,Kalif Raymond,29631,CHI,WR,,Mon 8:15 pm vs Phi ,10,–,6.41,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,K,Cairo Santos,28227,CHI,K,,Mon 8:15 pm vs Phi ,10,–,9.60,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,DEF,Raiders,100013,LV,DEF,,Sun 4:25 pm @ NO ,13,–,23.94,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,D,Nakobe Dean,34039,LV,LB,Q,Sun 4:25 pm @ NO ,13,–,22.05,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,DB,Quentin Lake,34167,LAR,"DB,S",,Sun 8:20 pm @ Den ,11,–,11.00,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,DL,Donovan Ezeiruaku,41829,DAL,"LB,DE",,Sun 4:25 pm vs Bal ,14,–,13.74,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,LB,Ernest Jones IV,33491,SEA,LB,Q,Sun 1:00 pm @ Was ,11,–,19.18,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,CB,Keisean Nixon,32348,GB,CB,,Thu 8:15 pm vs Atl ,11,–,14.79,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,S,Kevin Byard III,29298,NE,S,,Sun 1:00 pm @ Jax ,11,–,17.69,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,BN,Quincy Williams,31930,CLE,LB,Q,Sun 1:00 pm vs Car ,11,–,18.24,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,BN,Andrew Van Ginkel,31983,MIN,"LB,DE",,Sun 4:05 pm @ TB ,6,–,15.43,2026-09-24T17:27:39+00:00
1,My Team is on IR,1-1-0 PF 545.20,5,BN,Nehemiah Pritchett,41012,SEA,CB,,Sun 1:00 pm @ Was ,11,–,1.68,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,QB,Josh Allen,30977,BUF,QB,,Sun 1:00 pm vs LAC ,7,–,40.10,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,RB,Jonathan Taylor,32711,IND,RB,,Sun 1:00 pm vs Hou ,13,–,16.55,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,WR,Jaylen Waddle,33394,DEN,WR,,Sun 8:20 pm vs LAR ,10,–,13.86,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,TE,Dalton Schultz,31107,HOU,TE,,Sun 1:00 pm @ Ind ,8,–,9.81,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,W/R,David Montgomery,31905,HOU,RB,,Sun 1:00 pm @ Ind ,8,–,12.46,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,W/R/T,Omarion Hampton,41807,LAC,RB,,Sun 1:00 pm @ Buf ,7,–,13.10,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,Q/W/R/T,Patrick Mahomes,30123,KC,QB,,Sun 1:00 pm @ Mia ,5,–,39.21,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,BN,Bo Nix,40875,DEN,QB,,Sun 8:20 pm vs LAR ,10,–,36.00,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,BN,T.J. Hockenson,31840,MIN,TE,,Sun 4:05 pm @ TB ,6,–,7.22,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,BN,DK Metcalf,31896,PIT,WR,,Sun 1:00 pm vs Cin ,9,–,11.17,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,BN,Aaron Jones Sr.,30295,MIN,RB,Q,Sun 4:05 pm @ TB ,6,–,11.87,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,BN,Tre Tucker,40114,LV,WR,,Sun 4:25 pm @ NO ,13,–,8.36,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,K,Evan McPherson,33537,CIN,K,,Sun 1:00 pm @ Pit ,6,–,10.16,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,BN,Jason Myers,28378,SEA,K,,Sun 1:00 pm @ Was ,11,–,10.90,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,DEF,Panthers,100029,CAR,DEF,,Sun 1:00 pm @ Cle ,5,–,27.31,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,BN,Broncos,100007,DEN,DEF,,Sun 8:20 pm vs LAR ,10,–,19.93,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,D,Alex Singleton,28716,DEN,LB,,Sun 8:20 pm vs LAR ,10,–,18.81,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,DB,Dillon Thieneman,42647,CHI,S,,Mon 8:15 pm vs Phi ,10,–,16.07,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,DL,Danielle Hunter,28476,HOU,"LB,DE",,Sun 1:00 pm @ Ind ,8,–,12.49,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,LB,Jamien Sherwood,33534,NYJ,LB,,Sun 1:00 pm @ Det ,13,–,19.27,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,CB,Dax Hill,33986,CIN,"S,CB",,Sun 1:00 pm @ Pit ,6,–,14.59,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,S,Caleb Downs,42633,DAL,S,,Sun 4:25 pm vs Bal ,14,–,16.15,2026-09-24T17:27:39+00:00
2,JETS,1-1-0 PF 543.10,6,BN,Ventrell Miller,40155,JAX,LB,,Sun 1:00 pm vs NE ,7,–,20.67,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,QB,Brock Purdy,34218,SF,QB,,Sun 4:05 pm vs Ari ,8,–,38.57,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,RB,James Cook III,34019,BUF,RB,,Sun 1:00 pm vs LAC ,7,–,14.89,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,WR,Malik Nabers,40899,NYG,WR,Q,Sun 1:00 pm vs Ten ,8,–,12.21,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,TE,Tucker Kraft,40102,GB,TE,,Thu 8:15 pm vs Atl ,11,–,10.40,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,W/R,Saquon Barkley,30972,PHI,RB,Q,Mon 8:15 pm @ Chi ,10,–,13.53,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,W/R/T,DeVonta Smith,33398,PHI,WR,,Mon 8:15 pm @ Chi ,10,–,14.92,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,Q/W/R/T,Ladd McConkey,40908,LAC,WR,,Sun 1:00 pm @ Buf ,7,–,11.15,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,BN,Marvin Harrison Jr.,40893,ARI,WR,,Sun 4:05 pm @ SF ,14,–,7.92,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,BN,Brian Thomas Jr.,40883,JAX,WR,,Sun 1:00 pm vs NE ,7,–,8.62,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,BN,Jacory Croskey-Merritt,42010,WAS,RB,,Sun 1:00 pm vs Sea ,7,–,8.46,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,BN,Blake Corum,40962,LAR,RB,,Sun 8:20 pm @ Den ,11,–,8.37,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,BN,Mark Andrews,31056,BAL,TE,,Sun 4:25 pm @ Dal ,13,–,10.30,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,BN,Baker Mayfield,30971,TB,QB,,Sun 4:05 pm vs Min ,10,–,33.70,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,K,Matt Gay,31977,LV,K,,Sun 4:25 pm @ NO ,13,–,10.10,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,DEF,Patriots,100017,NE,DEF,,Sun 1:00 pm @ Jax ,11,–,22.78,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,D,Jaquan Brisker,34003,PIT,"DB,S",,Sun 1:00 pm vs Cin ,9,–,15.93,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,DB,Cole Bishop,40912,BUF,S,,Sun 1:00 pm vs LAC ,7,–,18.41,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,DL,Dallas Turner,40904,MIN,"LB,DE",,Sun 4:05 pm @ TB ,6,–,12.94,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,LB,Devin Lloyd,33982,CAR,LB,Q,Sun 1:00 pm @ Cle ,5,–,21.75,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,CB,Travis Hunter,99002,JAX,"WR,CB",,Sun 1:00 pm vs NE ,7,–,9.81,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,S,Talanoa Hufanga,33568,DEN,S,,Sun 8:20 pm vs LAR ,10,–,16.69,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,BN,Keondre Jackson,42471,BAL,S,,Sun 4:25 pm @ Dal ,13,–,1.97,2026-09-24T17:27:39+00:00
3,Pound the Rock,1-1-0 PF 567.46,4,BN,Xavier McKinney,32706,GB,S,,Thu 8:15 pm vs Atl ,11,–,16.93,2026-09-24T17:27:39+00:00
4,Eatin Pigskins,1-1-0 PF 509.79,8,QB,Caleb Williams,40900,CHI,QB,D,Mon 8:15 pm vs Phi ,10,–,0.00,2026-09-24T17:27:39+00:00
4,Eatin Pigskins,1-1-0 PF 509.79,8,RB,Bijan Robinson,40055,ATL,RB,,Thu 8:15 pm @ GB ,11,–,18.50,2026-09-24T17:27:39+00:00
4,Eatin Pigskins,1-1-0 PF 509.79,8,WR,Garrett Wilson,33965,NYJ,WR,,Sun 1:00 pm @ Det ,13,–,15.04,2026-09-24T17:27:39+00:00
4,Eatin Pigskins,1-1-0 PF 509.79,8,TE,Harold Fannin Jr.,41877,CLE,TE,,Sun 1:00 pm vs Car ,11,–,9.47,2026-09-24T17:27:39+00:00
4,Eatin Pigskins,1-1-0 PF 509.79,8,W/R,De'Von Achane,40118,MIA,RB,,Sun 1:00 pm vs KC ,6,–,16.10,2026-09-24T17:27:39+00:00
4,Eatin Pigskins,1-1-0 PF 509.79,8,W/R/T,Ashton Jeanty,41791,LV,RB,,Sun 4:25 pm @ NO ,13,–,15.12,2026-09-24T17:27:39+00:00
4,Eatin Pigskins,1-1-0 PF 509.79,8,Q/W/R/T,Javonte Williams,33423,DAL,RB,,Sun 4:25 pm vs Bal ,14,–,13.50,2026-09-24T17:27:39+00:00
4,Eatin Pigskins,1-1-0 PF 509.79,8,BN,Quinshon Judkins,41821,CLE,RB,,Sun 1:00 pm vs Car ,11,–,12.54,2026-09-24T17:27:39+00:00
4,Eatin Pigskins,1-1-0 PF 509.79,8,BN,Mike Evans,27535,SF,WR,Q,Sun 4:05 pm vs Ari ,8,–,12.42,2026-09-24T17:27:39+00:00
4,Eatin Pigskins,1-1-0 PF 509.79,8,BN,Tony Pollard,31960,TEN,RB,Q,Sun 1:00 pm @ NYG ,9,–,9.37,2026-09-24T17:27:39+00:00
4,Eatin Pigskins,1-1-0 PF 509.79,8,BN,Rico Dowdle,33100,PIT,RB,Q,Sun 1:00 pm vs Cin ,9,–,9.75,2026-09-24T17:27:39+00:00
4,Eatin Pigskins,1-1-0 PF 509.79,8,BN,Jordan Addison,40042,MIN,WR,,Sun 4:05 pm @ TB ,6,–,8.43,2026-09-24T17:27:39+00:00
