ts,team,team_id,player,pid,nfl,pos,status,kind,action,pulled_at
"Sep 26, 10:33 am",My Team is on IR,1,Jaxson Dart,41810,NYG,QB,IR,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 25, 3:10 pm",Grey Poop On Bijan Mustard,5,Amani Hooker,31948,TEN,"DB,S",,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 25, 3:10 pm",Grey Poop On Bijan Mustard,5,Malik Willis,34042,MIA,QB,,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 25, 3:05 pm",Grey Poop On Bijan Mustard,5,D.J. Reed,31112,DET,CB,,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 25, 3:05 pm",Grey Poop On Bijan Mustard,5,Malaki Starks,41812,BAL,S,,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 25, 3:01 pm",Grey Poop On Bijan Mustard,5,Jordan Battle,40117,CIN,S,,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 25, 3:01 pm",Grey Poop On Bijan Mustard,5,Nate Wiggins,40886,BAL,CB,,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 25, 12:03 pm",Tecmo Bowlers,6,Harrison Butker,30346,KC,K,,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 25, 12:03 pm",Tecmo Bowlers,6,Cameron Dicker,34344,LAC,K,,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 25, 12:02 pm",Tecmo Bowlers,6,Jameson Williams,33967,DET,WR,,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 25, 12:02 pm",Tecmo Bowlers,6,Malachi Fields,42696,NYG,WR,,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 25, 7:30 am",T-rex,8,Cam Bynum,33513,IND,S,,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 25, 7:30 am",T-rex,8,Brandon Jones,32740,DEN,S,,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 25, 3:40 am",T-rex,8,Drew Lock,31874,SEA,QB,,Waiver,add,2026-09-26T14:53:35+00:00
"Sep 24, 5:40 pm",My Team is on IR,1,Chase McLaughlin,32417,TB,K,,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 24, 5:40 pm",My Team is on IR,1,Cairo Santos,28227,CHI,K,Q,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 24, 4:54 pm",Eatin Pigskins,4,Will Anderson Jr.,40031,HOU,DE,,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 24, 4:54 pm",Eatin Pigskins,4,Deonte Banks,40053,NYG,CB,Q,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 24, 4:53 pm",Eatin Pigskins,4,Malik Mustapha,40997,SF,"DB,S",,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 24, 4:53 pm",Eatin Pigskins,4,Dean Clark,42228,NYJ,S,NA,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 24, 4:52 pm",Eatin Pigskins,4,Drue Tranquill,31962,KC,LB,,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 24, 4:52 pm",Eatin Pigskins,4,Drake Jackson,34017,ATL,"DL,DE",NA,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 23, 4:42 pm",Tecmo Bowlers,6,Malachi Fields,42696,NYG,WR,,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 23, 4:42 pm",Tecmo Bowlers,6,Alec Pierce,34008,IND,WR,O,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 23, 2:53 pm",Grey Poop On Bijan Mustard,5,Byron Murphy Jr.,31865,MIN,CB,,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 23, 1:22 pm",T-rex,8,Demetrius Knight Jr.,41834,CIN,LB,,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 23, 1:22 pm",T-rex,8,Barrett Carter,41906,CIN,LB,,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 23, 1:15 pm",T-rex,8,Sam Darnold,30973,SEA,QB,,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 23, 1:01 pm",T-rex,8,Marcus Jones,34041,NE,"DB,CB",,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 23, 3:03 am",The STRIB Club,7,Savion Williams,41851,GB,WR,IR-R,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 23, 3:01 am",The STRIB Club,7,Josiah Trotter,42668,TB,LB,O,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 23, 3:01 am",The STRIB Club,7,Drew Lock,31874,SEA,QB,,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 22, 8:21 pm",JETS,2,Tre Tucker,40114,LV,WR,,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 22, 8:21 pm",JETS,2,Jameson Williams,33967,DET,WR,,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 22, 8:07 pm",JETS,2,Dax Hill,33986,CIN,"S,CB",,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 22, 8:07 pm",JETS,2,Deommodore Lenoir,33560,SF,"DB,CB",,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 22, 7:56 pm",JETS,2,Alex Singleton,28716,DEN,LB,,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 22, 7:56 pm",JETS,2,Devin Bush,31842,CHI,LB,,To Waivers,drop,2026-09-26T14:53:35+00:00
"Sep 22, 6:14 pm",T-rex,8,Leonard Williams,28394,SEA,"DL,DT,DE",,Free Agent,add,2026-09-26T14:53:35+00:00
"Sep 22, 6:14 pm",T-rex,8,Zach Allen,31897,DEN,DE,,To Waivers,drop,2026-09-26T14:53:35+00:00
